"Open","High","Low","Close","Volume","Date","Emiten"
378,400,336,336,67770500,"2021-12-06","TAYS"
330,330,314,328,29151600,"2021-12-07","TAYS"
320,328,306,306,16977800,"2021-12-08","TAYS"
306,308,286,286,13694100,"2021-12-09","TAYS"
268,282,266,274,23629700,"2021-12-10","TAYS"
274,280,260,264,3400100,"2021-12-13","TAYS"
264,270,258,264,9640800,"2021-12-14","TAYS"
264,270,252,252,5940000,"2021-12-15","TAYS"
254,258,236,236,6303400,"2021-12-16","TAYS"
220,238,220,222,11573700,"2021-12-17","TAYS"
220,234,212,218,9336100,"2021-12-20","TAYS"
218,224,216,218,4482400,"2021-12-21","TAYS"
216,222,212,218,683400,"2021-12-22","TAYS"
218,218,212,214,4642500,"2021-12-23","TAYS"
214,216,208,212,8036500,"2021-12-24","TAYS"
212,216,202,208,4866300,"2021-12-27","TAYS"
210,210,198,198,3249200,"2021-12-28","TAYS"
198,200,186,186,6585900,"2021-12-29","TAYS"
186,190,177,178,1594400,"2021-12-30","TAYS"
177,178,167,178,2871700,"2022-01-03","TAYS"
178,222,178,200,9744000,"2022-01-04","TAYS"
206,214,196,200,2035000,"2022-01-05","TAYS"
200,200,188,198,998500,"2022-01-06","TAYS"
199,208,196,206,2273500,"2022-01-07","TAYS"
208,210,206,208,1169700,"2022-01-10","TAYS"
210,222,200,220,4080100,"2022-01-11","TAYS"
224,264,224,260,46065400,"2022-01-12","TAYS"
262,264,242,242,15027700,"2022-01-13","TAYS"
244,244,226,228,3765500,"2022-01-14","TAYS"
230,240,228,232,3389200,"2022-01-17","TAYS"
234,244,228,234,3582700,"2022-01-18","TAYS"
234,234,222,228,2244100,"2022-01-19","TAYS"
230,230,220,230,1263900,"2022-01-20","TAYS"
230,238,228,234,4496000,"2022-01-21","TAYS"
234,234,228,230,692700,"2022-01-24","TAYS"
230,238,214,238,2701000,"2022-01-25","TAYS"
238,246,222,222,9765900,"2022-01-26","TAYS"
214,222,208,208,4804100,"2022-01-27","TAYS"
196,206,194,194,7784600,"2022-01-28","TAYS"
194,199,182,182,2449600,"2022-01-31","TAYS"
183,194,182,190,1495600,"2022-02-02","TAYS"
194,204,192,200,2053000,"2022-02-03","TAYS"
198,212,198,198,1519700,"2022-02-04","TAYS"
208,208,195,200,191100,"2022-02-07","TAYS"
200,204,199,200,325800,"2022-02-08","TAYS"
204,206,198,200,905800,"2022-02-09","TAYS"
200,204,196,196,763900,"2022-02-10","TAYS"
196,199,195,196,243800,"2022-02-11","TAYS"
197,199,191,195,258300,"2022-02-14","TAYS"
195,197,193,196,163400,"2022-02-15","TAYS"
196,196,189,196,1239800,"2022-02-16","TAYS"
195,195,189,192,1115700,"2022-02-17","TAYS"
192,192,189,192,689200,"2022-02-18","TAYS"
192,192,188,192,279000,"2022-02-21","TAYS"
192,196,190,191,450400,"2022-02-22","TAYS"
191,196,190,191,418200,"2022-02-23","TAYS"
191,191,187,190,625400,"2022-02-24","TAYS"
190,194,187,189,305900,"2022-02-25","TAYS"
189,190,188,189,265300,"2022-03-01","TAYS"
189,189,186,186,1170400,"2022-03-02","TAYS"
186,195,185,195,2053300,"2022-03-04","TAYS"
196,206,195,200,3895000,"2022-03-07","TAYS"
200,210,196,210,1377300,"2022-03-08","TAYS"
210,218,208,212,2438000,"2022-03-09","TAYS"
212,216,202,212,740900,"2022-03-10","TAYS"
210,216,208,216,726900,"2022-03-11","TAYS"
216,216,216,216,0,"2022-03-14","TAYS"
216,220,212,214,684200,"2022-03-15","TAYS"
214,214,208,210,206100,"2022-03-16","TAYS"
208,230,204,226,4307900,"2022-03-17","TAYS"
226,228,218,220,635500,"2022-03-18","TAYS"
220,224,206,206,620400,"2022-03-21","TAYS"
206,208,192,195,3014300,"2022-03-22","TAYS"
193,200,188,197,263000,"2022-03-23","TAYS"
197,218,196,200,291100,"2022-03-24","TAYS"
200,204,195,200,146800,"2022-03-25","TAYS"
206,206,199,200,98400,"2022-03-28","TAYS"
202,218,200,210,888900,"2022-03-29","TAYS"
212,216,196,210,279600,"2022-03-30","TAYS"
210,216,202,210,272000,"2022-03-31","TAYS"
210,212,204,204,101700,"2022-04-01","TAYS"
204,204,198,204,70600,"2022-04-04","TAYS"
204,214,202,206,17500,"2022-04-05","TAYS"
204,206,192,202,318800,"2022-04-06","TAYS"
200,204,193,202,43200,"2022-04-07","TAYS"
204,214,202,210,546800,"2022-04-08","TAYS"
210,220,202,208,577700,"2022-04-11","TAYS"
208,212,200,210,167100,"2022-04-12","TAYS"
210,210,202,202,371300,"2022-04-13","TAYS"
202,212,200,200,620700,"2022-04-14","TAYS"
200,208,192,196,1079200,"2022-04-18","TAYS"
199,208,197,199,564000,"2022-04-19","TAYS"
200,200,196,199,80200,"2022-04-20","TAYS"
202,212,196,199,4351600,"2022-04-21","TAYS"
206,210,193,199,3982400,"2022-04-22","TAYS"
195,206,195,198,399300,"2022-04-25","TAYS"
200,204,197,199,418900,"2022-04-26","TAYS"
200,204,197,197,232100,"2022-04-27","TAYS"
197,202,197,197,142800,"2022-04-28","TAYS"
197,197,185,194,537900,"2022-05-09","TAYS"
193,193,183,190,355500,"2022-05-10","TAYS"
188,191,182,188,224100,"2022-05-11","TAYS"
192,192,183,185,891800,"2022-05-12","TAYS"
184,190,184,185,43500,"2022-05-13","TAYS"
185,188,184,188,44200,"2022-05-17","TAYS"
188,191,188,191,180700,"2022-05-18","TAYS"
191,191,186,190,29700,"2022-05-19","TAYS"
190,191,185,186,143900,"2022-05-20","TAYS"
187,192,186,192,125700,"2022-05-23","TAYS"
191,198,191,194,155300,"2022-05-24","TAYS"
194,197,192,197,263900,"2022-05-25","TAYS"
197,197,195,196,235500,"2022-05-27","TAYS"
196,197,191,196,135200,"2022-05-30","TAYS"
193,198,193,198,287100,"2022-05-31","TAYS"
196,200,195,198,312900,"2022-06-02","TAYS"
198,199,195,197,87300,"2022-06-03","TAYS"
198,200,195,196,298400,"2022-06-06","TAYS"
196,199,194,198,180900,"2022-06-07","TAYS"
198,198,196,197,59000,"2022-06-08","TAYS"
197,197,196,197,23500,"2022-06-09","TAYS"
197,198,196,196,80400,"2022-06-10","TAYS"
196,198,186,194,313700,"2022-06-13","TAYS"
198,198,193,196,37800,"2022-06-14","TAYS"
195,198,192,197,93900,"2022-06-15","TAYS"
196,197,195,197,95600,"2022-06-16","TAYS"
196,197,190,197,1149000,"2022-06-17","TAYS"
197,197,194,194,114700,"2022-06-20","TAYS"
195,196,193,194,578400,"2022-06-21","TAYS"
193,197,192,196,201800,"2022-06-22","TAYS"
193,195,193,194,168600,"2022-06-23","TAYS"
194,195,190,195,28400,"2022-06-24","TAYS"
194,196,193,195,204000,"2022-06-27","TAYS"
193,196,193,196,153100,"2022-06-28","TAYS"
196,196,194,194,147600,"2022-06-29","TAYS"
194,195,193,195,178000,"2022-06-30","TAYS"
195,195,194,195,30500,"2022-07-01","TAYS"
194,194,182,194,484100,"2022-07-04","TAYS"
190,195,183,194,122300,"2022-07-05","TAYS"
195,196,190,195,63400,"2022-07-06","TAYS"
195,197,190,195,26300,"2022-07-07","TAYS"
192,195,192,195,4600,"2022-07-08","TAYS"
195,195,182,190,147200,"2022-07-11","TAYS"
190,190,186,190,112600,"2022-07-12","TAYS"
187,195,186,193,32300,"2022-07-13","TAYS"
195,196,191,195,10300,"2022-07-14","TAYS"
195,195,191,193,11400,"2022-07-15","TAYS"
191,192,190,192,200100,"2022-07-18","TAYS"
190,192,190,192,14400,"2022-07-19","TAYS"
191,192,190,192,14000,"2022-07-20","TAYS"
190,192,189,191,159200,"2022-07-21","TAYS"
191,191,189,190,13700,"2022-07-22","TAYS"
190,190,185,189,475500,"2022-07-25","TAYS"
189,189,180,183,244600,"2022-07-26","TAYS"
183,188,183,186,28600,"2022-07-27","TAYS"
185,189,183,187,251000,"2022-07-28","TAYS"
189,194,184,184,182800,"2022-07-29","TAYS"
186,189,184,186,68800,"2022-08-01","TAYS"
186,190,186,186,50300,"2022-08-02","TAYS"
186,187,185,186,23600,"2022-08-03","TAYS"
186,193,183,186,125100,"2022-08-04","TAYS"
186,194,186,194,69800,"2022-08-05","TAYS"
191,192,186,190,162500,"2022-08-08","TAYS"
192,194,187,187,60000,"2022-08-09","TAYS"
187,193,187,192,33700,"2022-08-10","TAYS"
190,195,189,192,206400,"2022-08-11","TAYS"
192,199,189,190,112200,"2022-08-12","TAYS"
192,202,190,200,1478900,"2022-08-15","TAYS"
200,202,192,199,514500,"2022-08-16","TAYS"
197,256,197,216,13598300,"2022-08-18","TAYS"
216,216,202,212,1446400,"2022-08-19","TAYS"
206,226,202,222,1743700,"2022-08-22","TAYS"
222,230,212,218,2114300,"2022-08-23","TAYS"
206,228,206,214,1186700,"2022-08-24","TAYS"
214,222,212,220,733900,"2022-08-25","TAYS"
220,220,208,216,16540300,"2022-08-26","TAYS"
216,232,216,220,1741100,"2022-08-29","TAYS"
222,238,214,226,2051700,"2022-08-30","TAYS"
226,226,216,218,7298200,"2022-08-31","TAYS"
222,272,222,272,6857300,"2022-09-01","TAYS"
264,274,256,274,9352400,"2022-09-02","TAYS"
266,270,256,258,3017300,"2022-09-05","TAYS"
258,266,240,240,7939400,"2022-09-06","TAYS"
240,244,234,236,2183700,"2022-09-07","TAYS"
236,258,236,244,2304500,"2022-09-08","TAYS"
256,266,238,258,2733900,"2022-09-09","TAYS"
260,282,258,280,9957300,"2022-09-12","TAYS"
280,288,274,282,4181800,"2022-09-13","TAYS"
282,290,280,284,6284800,"2022-09-14","TAYS"
286,312,286,298,11978000,"2022-09-15","TAYS"
302,302,278,278,4201000,"2022-09-16","TAYS"
278,292,274,280,2453500,"2022-09-19","TAYS"
282,350,274,350,26319600,"2022-09-20","TAYS"
350,378,334,334,16825600,"2022-09-21","TAYS"
334,368,328,338,4385500,"2022-09-22","TAYS"
344,362,334,350,6699100,"2022-09-23","TAYS"
352,358,326,350,11290300,"2022-09-26","TAYS"
348,356,340,348,3785000,"2022-09-27","TAYS"
348,434,340,434,35384300,"2022-09-28","TAYS"
450,530,404,450,34808300,"2022-09-29","TAYS"
454,525,450,520,14666000,"2022-09-30","TAYS"
525,590,484,505,16524600,"2022-10-03","TAYS"
515,595,476,505,20491900,"2022-10-04","TAYS"
505,505,470,470,18793300,"2022-10-05","TAYS"
470,525,468,515,18574700,"2022-10-06","TAYS"
510,525,498,515,24349600,"2022-10-07","TAYS"
515,640,480,565,46024100,"2022-10-10","TAYS"
575,625,545,595,18748600,"2022-10-11","TAYS"
590,605,555,555,10677800,"2022-10-12","TAYS"
555,570,520,520,6228100,"2022-10-13","TAYS"
500,505,484,484,18347000,"2022-10-14","TAYS"
474,550,452,535,55534700,"2022-10-17","TAYS"
540,640,498,610,46600800,"2022-10-18","TAYS"
610,610,610,610,0,"2022-10-19","TAYS"
600,615,575,600,9555200,"2022-10-20","TAYS"
600,605,560,560,11513900,"2022-10-21","TAYS"
540,555,525,525,10658400,"2022-10-24","TAYS"
500,555,490,490,20093200,"2022-10-25","TAYS"
490,490,456,456,11298300,"2022-10-26","TAYS"
456,458,426,430,12685700,"2022-10-27","TAYS"
