"Open","High","Low","Close","Volume","Date","Emiten"
3475,3475,3475,3475,6,"2007-01-02","TCID"
3475,3475,3475,3475,6,"2007-01-03","TCID"
3475,3475,3475,3475,31000,"2007-01-04","TCID"
3475,3475,3475,3475,6,"2007-01-05","TCID"
3475,3475,3475,3475,5000,"2007-01-08","TCID"
3450,3475,3450,3450,27000,"2007-01-09","TCID"
3400,3400,3400,3400,15000,"2007-01-10","TCID"
3400,3400,3400,3400,6,"2007-01-11","TCID"
3350,3375,3350,3350,7000,"2007-01-12","TCID"
3450,3450,3450,3450,10000,"2007-01-15","TCID"
3500,3500,3500,3500,30000,"2007-01-16","TCID"
3500,3550,3500,3500,48000,"2007-01-17","TCID"
3550,3550,3500,3550,52000,"2007-01-18","TCID"
3550,3550,3525,3550,46000,"2007-01-19","TCID"
3525,3575,3525,3575,45000,"2007-01-22","TCID"
3550,3550,3550,3550,30000,"2007-01-23","TCID"
3575,3575,3550,3575,45000,"2007-01-24","TCID"
3575,3575,3575,3575,30000,"2007-01-25","TCID"
3525,3525,3525,3525,4000,"2007-01-26","TCID"
3550,3550,3550,3550,10000,"2007-01-29","TCID"
3575,3575,3550,3575,16000,"2007-01-30","TCID"
3550,3550,3550,3550,30000,"2007-01-31","TCID"
3725,3725,3600,3725,42000,"2007-02-01","TCID"
3725,3725,3725,3725,2000,"2007-02-02","TCID"
3650,3675,3650,3650,30000,"2007-02-05","TCID"
3675,3675,3675,3675,153000,"2007-02-06","TCID"
3750,3750,3725,3750,120000,"2007-02-07","TCID"
3775,3850,3775,3775,103000,"2007-02-08","TCID"
3775,3775,3775,3775,260000,"2007-02-09","TCID"
3775,3775,3775,3775,228000,"2007-02-12","TCID"
3875,3875,3775,3875,35000,"2007-02-13","TCID"
3900,3900,3825,3900,20000,"2007-02-14","TCID"
3925,3950,3925,3925,11000,"2007-02-15","TCID"
3950,4000,3925,3925,11000,"2007-02-16","TCID"
4050,4050,4000,4050,15000,"2007-02-19","TCID"
4050,4050,4050,4050,6,"2007-02-20","TCID"
3900,3900,3900,3900,2000,"2007-02-21","TCID"
3900,3900,3900,3900,6,"2007-02-22","TCID"
3775,3775,3775,3775,1000,"2007-02-23","TCID"
3800,3800,3800,3800,8000,"2007-02-26","TCID"
3800,3800,3800,3800,6,"2007-02-27","TCID"
3800,3800,3800,3800,6,"2007-02-28","TCID"
3800,3800,3800,3800,6,"2007-03-01","TCID"
3700,3700,3700,3700,2000,"2007-03-02","TCID"
3700,3700,3700,3700,25000,"2007-03-05","TCID"
3700,3700,3700,3700,6,"2007-03-06","TCID"
3775,3775,3775,3775,1000,"2007-03-07","TCID"
3775,3775,3775,3775,6,"2007-03-08","TCID"
3750,3750,3550,3750,198000,"2007-03-09","TCID"
3850,3900,3800,3850,58000,"2007-03-12","TCID"
3925,3925,3925,3925,1000,"2007-03-13","TCID"
3900,3900,3900,3900,20000,"2007-03-14","TCID"
3950,3950,3850,3950,4000,"2007-03-15","TCID"
3950,3950,3950,3950,4,"2007-03-16","TCID"
3950,3950,3950,3950,4,"2007-03-20","TCID"
3950,3950,3950,3950,4,"2007-03-21","TCID"
3950,4150,3950,4150,8000,"2007-03-22","TCID"
3900,3900,3900,3900,10000,"2007-03-23","TCID"
3900,3900,3900,3900,6,"2007-03-26","TCID"
3900,3900,3900,3900,4,"2007-03-27","TCID"
3900,3900,3900,3900,6,"2007-03-28","TCID"
3900,3900,3900,3900,4,"2007-03-29","TCID"
3900,3900,3900,3900,1000,"2007-03-30","TCID"
3900,3900,3900,3900,4,"2007-04-02","TCID"
3800,3825,3800,3800,52000,"2007-04-03","TCID"
3850,3850,3825,3850,17000,"2007-04-04","TCID"
3850,3850,3850,3850,5000,"2007-04-05","TCID"
3850,3850,3850,3850,10000,"2007-04-09","TCID"
3850,3850,3850,3850,6,"2007-04-10","TCID"
3900,3900,3900,3900,5000,"2007-04-11","TCID"
3900,3900,3900,3900,6,"2007-04-12","TCID"
3900,3900,3900,3900,6,"2007-04-13","TCID"
3875,3875,3875,3875,1000,"2007-04-16","TCID"
3875,3875,3875,3875,6,"2007-04-17","TCID"
3875,3875,3875,3875,6,"2007-04-18","TCID"
3875,3875,3875,3875,6,"2007-04-19","TCID"
3875,3875,3875,3875,0,"2007-04-20","TCID"
3900,3900,3850,3900,21000,"2007-04-23","TCID"
3800,3800,3800,3800,5000,"2007-04-24","TCID"
3800,3850,3800,3800,7000,"2007-04-25","TCID"
3725,3725,3700,3725,20000,"2007-04-26","TCID"
3675,3675,3675,3675,10000,"2007-04-27","TCID"
3675,3675,3675,3675,6,"2007-04-30","TCID"
3675,3675,3675,3675,6,"2007-05-01","TCID"
3675,3675,3675,3675,2,"2007-05-02","TCID"
3675,3675,3675,3675,2,"2007-05-03","TCID"
3675,3675,3675,3675,2,"2007-05-04","TCID"
3675,3675,3675,3675,4,"2007-05-07","TCID"
3675,3675,3675,3675,4,"2007-05-08","TCID"
3675,3675,3675,3675,0,"2007-05-09","TCID"
3675,3675,3675,3675,4,"2007-05-10","TCID"
3675,3675,3675,3675,2,"2007-05-11","TCID"
3675,3675,3675,3675,2,"2007-05-14","TCID"
3675,3675,3675,3675,0,"2007-05-15","TCID"
3675,3675,3675,3675,2,"2007-05-16","TCID"
3675,3675,3675,3675,6,"2007-05-21","TCID"
3675,3675,3675,3675,0,"2007-05-22","TCID"
3675,3675,3675,3675,6,"2007-05-23","TCID"
3675,3675,3675,3675,6,"2007-05-24","TCID"
3675,3675,3675,3675,6,"2007-05-25","TCID"
3600,3600,3600,3600,5000,"2007-05-28","TCID"
3550,3600,3550,3550,12000,"2007-05-29","TCID"
3500,3525,3500,3500,7000,"2007-05-30","TCID"
3500,3500,3500,3500,0,"2007-05-31","TCID"
3550,3550,3550,3550,5000,"2007-06-04","TCID"
3550,3550,3550,3550,0,"2007-06-05","TCID"
3550,3550,3550,3550,0,"2007-06-06","TCID"
3550,3550,3550,3550,0,"2007-06-07","TCID"
3550,3550,3550,3550,6,"2007-06-08","TCID"
3550,3550,3550,3550,2,"2007-06-11","TCID"
3550,3550,3550,3550,0,"2007-06-12","TCID"
3550,3550,3550,3550,0,"2007-06-13","TCID"
3550,3550,3550,3550,2,"2007-06-14","TCID"
3550,3550,3550,3550,6,"2007-06-15","TCID"
