"Open","High","Low","Close","Volume","Date","Emiten"
306,306,230,278,183566600,"2019-09-17","TFAS"
280,304,250,262,77270800,"2019-09-18","TFAS"
260,266,240,252,25655600,"2019-09-19","TFAS"
252,264,240,244,33112600,"2019-09-20","TFAS"
250,252,240,240,8828900,"2019-09-23","TFAS"
240,250,212,240,16860500,"2019-09-24","TFAS"
240,244,224,230,8948700,"2019-09-25","TFAS"
232,266,222,244,29045600,"2019-09-26","TFAS"
244,262,236,250,10193800,"2019-09-27","TFAS"
254,262,244,252,12012400,"2019-09-30","TFAS"
256,256,244,246,6466500,"2019-10-01","TFAS"
248,248,228,232,5558500,"2019-10-02","TFAS"
232,232,212,218,6124900,"2019-10-03","TFAS"
218,230,212,218,6222700,"2019-10-04","TFAS"
218,230,214,214,6198300,"2019-10-07","TFAS"
218,220,200,210,7073900,"2019-10-08","TFAS"
210,214,200,210,7509500,"2019-10-09","TFAS"
210,220,206,214,5034800,"2019-10-10","TFAS"
214,216,208,214,4132000,"2019-10-11","TFAS"
214,218,210,210,3273600,"2019-10-14","TFAS"
212,214,208,210,3897300,"2019-10-15","TFAS"
210,216,206,210,3646700,"2019-10-16","TFAS"
210,214,208,208,3091900,"2019-10-17","TFAS"
210,210,202,208,4449900,"2019-10-18","TFAS"
208,208,200,208,4423400,"2019-10-21","TFAS"
208,208,202,202,3394000,"2019-10-22","TFAS"
202,208,197,206,5917700,"2019-10-23","TFAS"
206,214,204,206,3543000,"2019-10-24","TFAS"
206,212,204,206,2976500,"2019-10-25","TFAS"
206,210,202,210,3944700,"2019-10-28","TFAS"
210,214,208,210,2752900,"2019-10-29","TFAS"
210,222,208,220,5544900,"2019-10-30","TFAS"
222,230,214,214,3961900,"2019-10-31","TFAS"
210,214,206,206,2898700,"2019-11-01","TFAS"
204,212,204,210,2788600,"2019-11-04","TFAS"
206,210,202,202,2969000,"2019-11-05","TFAS"
202,206,200,200,2910100,"2019-11-06","TFAS"
200,206,196,196,3180700,"2019-11-07","TFAS"
196,204,186,195,2851100,"2019-11-08","TFAS"
195,200,185,195,3738600,"2019-11-11","TFAS"
191,195,187,191,3498000,"2019-11-12","TFAS"
190,193,180,180,5211500,"2019-11-13","TFAS"
180,182,172,172,3711000,"2019-11-14","TFAS"
172,180,170,180,4150100,"2019-11-15","TFAS"
186,186,175,176,3042500,"2019-11-18","TFAS"
175,180,170,170,4039200,"2019-11-19","TFAS"
170,180,169,174,3455500,"2019-11-20","TFAS"
174,174,170,170,3428200,"2019-11-21","TFAS"
170,170,167,168,3214500,"2019-11-22","TFAS"
168,168,162,166,3162100,"2019-11-25","TFAS"
162,169,162,163,3415300,"2019-11-26","TFAS"
162,164,151,163,5885200,"2019-11-27","TFAS"
164,168,160,162,3320100,"2019-11-28","TFAS"
162,163,153,160,4206700,"2019-11-29","TFAS"
160,162,155,162,4140100,"2019-12-02","TFAS"
163,190,163,170,4633400,"2019-12-03","TFAS"
173,175,166,166,3611400,"2019-12-04","TFAS"
166,169,163,168,1712900,"2019-12-05","TFAS"
165,171,165,165,1733800,"2019-12-06","TFAS"
165,166,160,164,1720800,"2019-12-09","TFAS"
165,175,160,160,1774700,"2019-12-10","TFAS"
160,168,158,158,1648800,"2019-12-11","TFAS"
158,163,155,157,1723400,"2019-12-12","TFAS"
157,159,156,156,1800400,"2019-12-13","TFAS"
156,158,153,153,1915100,"2019-12-16","TFAS"
153,156,151,153,1848700,"2019-12-17","TFAS"
154,156,150,152,2163500,"2019-12-18","TFAS"
147,154,146,151,262400,"2019-12-19","TFAS"
152,154,147,154,154100,"2019-12-20","TFAS"
153,153,145,152,232600,"2019-12-23","TFAS"
147,150,146,146,158200,"2019-12-26","TFAS"
144,184,144,181,4024100,"2019-12-27","TFAS"
182,195,170,195,6308300,"2019-12-30","TFAS"
197,197,178,178,667800,"2020-01-02","TFAS"
176,180,170,176,117400,"2020-01-03","TFAS"
171,171,161,164,293600,"2020-01-06","TFAS"
164,165,154,160,132200,"2020-01-07","TFAS"
160,185,151,160,378600,"2020-01-08","TFAS"
160,172,160,163,170900,"2020-01-09","TFAS"
162,170,161,165,43100,"2020-01-10","TFAS"
160,165,158,163,54800,"2020-01-13","TFAS"
155,167,155,167,132700,"2020-01-14","TFAS"
160,165,155,155,238500,"2020-01-15","TFAS"
163,164,155,161,38800,"2020-01-16","TFAS"
157,165,156,162,188200,"2020-01-17","TFAS"
162,162,152,155,180900,"2020-01-20","TFAS"
156,178,148,152,315500,"2020-01-21","TFAS"
160,160,146,150,181400,"2020-01-22","TFAS"
152,173,147,167,297600,"2020-01-23","TFAS"
167,167,155,164,52100,"2020-01-24","TFAS"
153,154,152,152,92100,"2020-01-27","TFAS"
149,149,145,147,138200,"2020-01-28","TFAS"
145,158,144,150,42800,"2020-01-29","TFAS"
155,172,148,160,284500,"2020-01-30","TFAS"
158,160,150,150,272300,"2020-01-31","TFAS"
150,155,145,146,16300,"2020-02-03","TFAS"
146,146,130,146,92300,"2020-02-04","TFAS"
145,147,140,146,23600,"2020-02-05","TFAS"
136,139,130,131,574000,"2020-02-06","TFAS"
126,147,126,140,35700,"2020-02-07","TFAS"
130,139,129,129,119200,"2020-02-10","TFAS"
140,144,130,130,210300,"2020-02-11","TFAS"
130,138,127,130,97700,"2020-02-12","TFAS"
124,130,120,120,534200,"2020-02-13","TFAS"
120,127,100,117,73900,"2020-02-14","TFAS"
113,147,113,131,84200,"2020-02-17","TFAS"
119,135,110,135,614400,"2020-02-18","TFAS"
135,137,125,130,109200,"2020-02-19","TFAS"
120,130,120,130,5100,"2020-02-20","TFAS"
122,129,122,123,11400,"2020-02-21","TFAS"
124,135,123,124,38400,"2020-02-24","TFAS"
120,132,116,116,12500,"2020-02-25","TFAS"
113,115,110,111,179600,"2020-02-26","TFAS"
112,112,105,109,54700,"2020-02-27","TFAS"
103,103,93,100,111400,"2020-02-28","TFAS"
100,118,99,115,89600,"2020-03-02","TFAS"
114,120,108,120,156100,"2020-03-03","TFAS"
119,120,110,110,124400,"2020-03-04","TFAS"
119,119,109,118,200400,"2020-03-05","TFAS"
117,124,106,115,687200,"2020-03-06","TFAS"
105,118,100,100,840200,"2020-03-09","TFAS"
105,135,105,135,1978400,"2020-03-10","TFAS"
145,164,140,147,1914900,"2020-03-11","TFAS"
147,155,134,151,1442400,"2020-03-12","TFAS"
153,158,141,158,1343000,"2020-03-13","TFAS"
159,159,147,147,56200,"2020-03-16","TFAS"
140,147,137,140,472300,"2020-03-17","TFAS"
143,143,135,140,297500,"2020-03-18","TFAS"
137,137,131,131,103500,"2020-03-19","TFAS"
136,137,131,137,279900,"2020-03-20","TFAS"
137,137,137,137,200,"2020-03-23","TFAS"
137,142,128,128,25100,"2020-03-24","TFAS"
122,160,122,158,792400,"2020-03-26","TFAS"
158,170,158,158,1239000,"2020-03-27","TFAS"
158,165,158,165,220400,"2020-03-30","TFAS"
165,196,165,196,5249200,"2020-03-31","TFAS"
194,194,183,184,38300,"2020-04-01","TFAS"
184,184,175,175,134100,"2020-04-02","TFAS"
174,192,174,175,36100,"2020-04-03","TFAS"
180,190,179,184,272000,"2020-04-06","TFAS"
180,180,172,172,444100,"2020-04-07","TFAS"
172,180,162,180,361200,"2020-04-08","TFAS"
170,178,169,170,1800,"2020-04-09","TFAS"
170,170,170,170,0,"2020-04-13","TFAS"
162,170,162,170,500,"2020-04-14","TFAS"
170,180,162,175,16700,"2020-04-15","TFAS"
175,180,165,177,9400,"2020-04-16","TFAS"
179,180,177,180,86300,"2020-04-17","TFAS"
180,180,168,179,8600,"2020-04-20","TFAS"
179,179,179,179,0,"2020-04-21","TFAS"
169,179,167,179,51500,"2020-04-22","TFAS"
170,177,169,177,19400,"2020-04-23","TFAS"
165,175,165,175,66400,"2020-04-24","TFAS"
177,177,177,177,11400,"2020-04-27","TFAS"
177,177,165,177,99800,"2020-04-28","TFAS"
167,173,165,173,31000,"2020-04-29","TFAS"
172,173,162,173,232800,"2020-04-30","TFAS"
168,168,165,165,53100,"2020-05-04","TFAS"
165,171,163,168,20000,"2020-05-05","TFAS"
166,166,166,166,5200,"2020-05-06","TFAS"
163,166,157,157,10000,"2020-05-08","TFAS"
157,157,157,157,4800,"2020-05-11","TFAS"
157,157,147,157,68500,"2020-05-12","TFAS"
157,157,157,157,0,"2020-05-13","TFAS"
157,157,147,157,3400,"2020-05-14","TFAS"
157,157,157,157,0,"2020-05-15","TFAS"
147,153,147,147,8800,"2020-05-18","TFAS"
140,140,140,140,2000,"2020-05-19","TFAS"
140,150,136,150,4900,"2020-05-20","TFAS"
140,152,140,152,13600,"2020-05-26","TFAS"
160,160,142,154,2600,"2020-05-27","TFAS"
164,164,158,158,300,"2020-05-28","TFAS"
166,166,147,157,170300,"2020-05-29","TFAS"
156,156,147,148,59300,"2020-06-02","TFAS"
153,155,148,155,166000,"2020-06-03","TFAS"
157,160,152,157,33100,"2020-06-04","TFAS"
155,165,152,164,79500,"2020-06-05","TFAS"
160,162,157,158,22400,"2020-06-08","TFAS"
158,164,154,161,14200,"2020-06-09","TFAS"
155,155,155,155,15200,"2020-06-10","TFAS"
150,150,148,148,13100,"2020-06-11","TFAS"
140,159,138,158,162700,"2020-06-12","TFAS"
160,160,147,158,5700,"2020-06-15","TFAS"
148,160,148,160,128500,"2020-06-16","TFAS"
160,164,160,164,102100,"2020-06-17","TFAS"
160,163,160,163,98300,"2020-06-18","TFAS"
162,162,154,162,4500,"2020-06-19","TFAS"
162,175,160,160,24600,"2020-06-22","TFAS"
160,171,154,171,35200,"2020-06-23","TFAS"
170,171,165,171,191400,"2020-06-24","TFAS"
171,171,160,160,242400,"2020-06-25","TFAS"
160,173,160,173,337700,"2020-06-26","TFAS"
174,180,173,179,164800,"2020-06-29","TFAS"
179,189,179,189,420700,"2020-06-30","TFAS"
180,180,176,177,11300,"2020-07-01","TFAS"
177,177,167,167,8000,"2020-07-02","TFAS"
157,167,157,158,5300,"2020-07-03","TFAS"
158,173,158,173,128300,"2020-07-06","TFAS"
173,173,163,165,13700,"2020-07-07","TFAS"
165,172,163,163,14000,"2020-07-08","TFAS"
163,163,163,163,5900,"2020-07-09","TFAS"
163,163,163,163,300,"2020-07-10","TFAS"
163,163,160,160,114500,"2020-07-13","TFAS"
158,172,158,172,7100,"2020-07-14","TFAS"
162,170,160,167,68700,"2020-07-15","TFAS"
160,167,156,167,157600,"2020-07-16","TFAS"
160,167,160,167,18000,"2020-07-17","TFAS"
161,162,161,162,200,"2020-07-20","TFAS"
160,167,160,167,2900,"2020-07-21","TFAS"
160,167,160,161,2600,"2020-07-22","TFAS"
161,177,161,175,7033400,"2020-07-23","TFAS"
179,180,165,174,255100,"2020-07-24","TFAS"
174,174,165,170,85400,"2020-07-27","TFAS"
163,170,163,170,2800,"2020-07-28","TFAS"
162,162,162,162,7900,"2020-07-29","TFAS"
160,170,160,168,20600,"2020-07-30","TFAS"
168,168,160,160,16200,"2020-08-03","TFAS"
160,170,157,170,26700,"2020-08-04","TFAS"
160,170,160,170,127500,"2020-08-05","TFAS"
170,170,170,170,0,"2020-08-06","TFAS"
170,170,170,170,100,"2020-08-07","TFAS"
160,169,159,168,27200,"2020-08-10","TFAS"
159,162,159,162,37300,"2020-08-11","TFAS"
158,160,158,160,106600,"2020-08-12","TFAS"
157,160,157,160,102100,"2020-08-13","TFAS"
160,160,160,160,2300,"2020-08-14","TFAS"
154,156,154,156,23400,"2020-08-18","TFAS"
156,156,151,152,135200,"2020-08-19","TFAS"
150,152,150,152,59200,"2020-08-24","TFAS"
144,166,144,145,112700,"2020-08-25","TFAS"
144,148,144,146,101600,"2020-08-26","TFAS"
146,146,146,146,3700,"2020-08-27","TFAS"
137,144,137,143,14800,"2020-08-28","TFAS"
143,158,143,158,13300,"2020-08-31","TFAS"
150,154,148,149,20300,"2020-09-01","TFAS"
142,159,142,149,1000,"2020-09-02","TFAS"
149,150,141,141,53700,"2020-09-03","TFAS"
142,142,139,139,9600,"2020-09-04","TFAS"
135,138,135,138,2900,"2020-09-07","TFAS"
140,154,140,150,29700,"2020-09-08","TFAS"
141,150,140,150,8100,"2020-09-09","TFAS"
140,140,140,140,8200,"2020-09-10","TFAS"
141,141,141,141,5100,"2020-09-11","TFAS"
142,142,136,142,19200,"2020-09-14","TFAS"
133,142,133,135,15700,"2020-09-15","TFAS"
135,138,135,135,86000,"2020-09-16","TFAS"
139,150,128,150,70800,"2020-09-17","TFAS"
150,153,150,153,2300,"2020-09-18","TFAS"
143,162,143,162,48600,"2020-09-21","TFAS"
162,170,160,170,575500,"2020-09-22","TFAS"
159,168,159,168,38900,"2020-09-23","TFAS"
161,169,157,169,297600,"2020-09-24","TFAS"
164,170,161,170,15900,"2020-09-25","TFAS"
162,172,162,172,19300,"2020-09-28","TFAS"
172,175,166,175,102000,"2020-09-29","TFAS"
174,179,164,179,404000,"2020-09-30","TFAS"
168,178,167,167,22000,"2020-10-01","TFAS"
157,180,157,180,613200,"2020-10-02","TFAS"
170,171,170,170,40200,"2020-10-05","TFAS"
160,168,160,162,61200,"2020-10-06","TFAS"
154,161,154,160,26100,"2020-10-07","TFAS"
160,175,160,175,34000,"2020-10-08","TFAS"
170,178,170,173,17200,"2020-10-09","TFAS"
175,179,174,174,93600,"2020-10-12","TFAS"
174,179,174,174,3448500,"2020-10-13","TFAS"
175,175,174,174,113000,"2020-10-14","TFAS"
174,180,174,180,32700,"2020-10-15","TFAS"
170,170,170,170,400,"2020-10-16","TFAS"
172,180,172,180,1900,"2020-10-19","TFAS"
171,172,171,171,10300,"2020-10-20","TFAS"
161,161,161,161,100,"2020-10-21","TFAS"
160,160,160,160,7200,"2020-10-22","TFAS"
160,160,160,160,0,"2020-10-23","TFAS"
160,170,151,160,4200,"2020-10-26","TFAS"
160,160,160,160,500,"2020-10-27","TFAS"
165,165,152,153,1600,"2020-11-02","TFAS"
144,174,144,170,2300,"2020-11-03","TFAS"
170,171,163,163,2200,"2020-11-04","TFAS"
159,168,152,167,63500,"2020-11-05","TFAS"
177,177,156,156,20700,"2020-11-06","TFAS"
156,156,156,156,100,"2020-11-09","TFAS"
150,150,148,148,33500,"2020-11-10","TFAS"
150,154,140,150,92900,"2020-11-11","TFAS"
150,150,150,150,900,"2020-11-12","TFAS"
141,160,141,151,5600,"2020-11-13","TFAS"
151,160,150,160,17000,"2020-11-16","TFAS"
160,165,153,153,9200,"2020-11-17","TFAS"
150,162,150,162,127000,"2020-11-18","TFAS"
158,166,158,166,86500,"2020-11-19","TFAS"
166,174,166,174,89300,"2020-11-20","TFAS"
170,181,170,174,50900,"2020-11-23","TFAS"
174,174,164,174,16200,"2020-11-24","TFAS"
165,165,165,165,400,"2020-11-25","TFAS"
162,165,162,165,255600,"2020-11-26","TFAS"
172,173,163,165,15800,"2020-11-27","TFAS"
162,170,160,160,63600,"2020-11-30","TFAS"
154,169,149,149,48800,"2020-12-01","TFAS"
149,167,149,149,57700,"2020-12-02","TFAS"
150,152,150,152,20700,"2020-12-03","TFAS"
153,154,144,150,51200,"2020-12-04","TFAS"
160,160,150,159,11900,"2020-12-07","TFAS"
158,162,158,160,392500,"2020-12-08","TFAS"
162,162,162,162,99400,"2020-12-10","TFAS"
170,170,154,154,29200,"2020-12-11","TFAS"
154,170,154,170,111400,"2020-12-14","TFAS"
171,181,170,178,540600,"2020-12-15","TFAS"
178,179,170,170,22200,"2020-12-16","TFAS"
170,181,170,170,202400,"2020-12-17","TFAS"
170,180,170,172,1232600,"2020-12-18","TFAS"
177,179,172,173,214400,"2020-12-21","TFAS"
179,181,172,172,273300,"2020-12-22","TFAS"
180,182,175,175,294200,"2020-12-23","TFAS"
175,175,170,170,30200,"2020-12-28","TFAS"
170,180,170,180,41900,"2020-12-29","TFAS"
180,181,180,180,346900,"2020-12-30","TFAS"
170,182,170,180,506800,"2021-01-04","TFAS"
179,180,172,172,13300,"2021-01-05","TFAS"
170,186,170,170,1175800,"2021-01-06","TFAS"
170,182,170,182,88500,"2021-01-07","TFAS"
180,184,180,182,1026600,"2021-01-08","TFAS"
180,182,180,182,10700,"2021-01-11","TFAS"
181,196,180,180,66490200,"2021-01-12","TFAS"
181,191,180,191,660600,"2021-01-13","TFAS"
190,256,190,230,47215500,"2021-01-14","TFAS"
234,286,234,286,6641500,"2021-01-15","TFAS"
306,306,266,286,5491200,"2021-01-18","TFAS"
288,294,272,284,888100,"2021-01-19","TFAS"
284,354,284,354,5766800,"2021-01-20","TFAS"
366,436,356,400,4405000,"2021-01-21","TFAS"
400,400,400,400,0,"2021-01-22","TFAS"
400,482,372,480,6365100,"2021-01-25","TFAS"
480,580,480,500,5451800,"2021-01-26","TFAS"
525,580,466,510,6720700,"2021-01-27","TFAS"
510,510,476,478,2422600,"2021-01-28","TFAS"
478,478,446,446,9430400,"2021-01-29","TFAS"
446,500,446,450,618000,"2021-02-01","TFAS"
490,490,420,440,174600,"2021-02-02","TFAS"
422,424,410,414,1001900,"2021-02-03","TFAS"
410,424,392,400,61800,"2021-02-04","TFAS"
400,400,372,390,164700,"2021-02-05","TFAS"
390,404,370,388,32400,"2021-02-08","TFAS"
388,388,362,388,245900,"2021-02-09","TFAS"
388,410,370,400,191200,"2021-02-10","TFAS"
400,470,400,448,466000,"2021-02-11","TFAS"
450,520,448,486,736200,"2021-02-15","TFAS"
488,488,464,470,1060500,"2021-02-16","TFAS"
482,525,482,515,826700,"2021-02-17","TFAS"
515,515,515,515,0,"2021-02-18","TFAS"
515,515,515,515,0,"2021-02-19","TFAS"
515,515,515,515,0,"2021-02-22","TFAS"
515,595,480,500,2201200,"2021-02-23","TFAS"
500,545,500,535,2092900,"2021-02-24","TFAS"
535,540,500,520,2228900,"2021-02-25","TFAS"
515,575,515,555,1806600,"2021-02-26","TFAS"
555,570,550,570,913000,"2021-03-01","TFAS"
570,585,560,575,894700,"2021-03-02","TFAS"
575,590,560,560,1010700,"2021-03-03","TFAS"
560,620,540,595,1259500,"2021-03-04","TFAS"
610,620,595,600,1041100,"2021-03-05","TFAS"
600,605,580,580,930000,"2021-03-08","TFAS"
605,705,580,675,3090400,"2021-03-09","TFAS"
675,800,675,720,2282900,"2021-03-10","TFAS"
725,750,700,745,730800,"2021-03-12","TFAS"
745,770,740,750,758200,"2021-03-15","TFAS"
750,830,745,790,1156700,"2021-03-16","TFAS"
800,815,760,800,624500,"2021-03-17","TFAS"
780,830,780,830,51666400,"2021-03-18","TFAS"
840,980,820,905,3992200,"2021-03-19","TFAS"
920,920,845,875,1779200,"2021-03-22","TFAS"
875,905,845,870,595800,"2021-03-23","TFAS"
830,885,830,885,1590700,"2021-03-24","TFAS"
885,890,830,865,1179500,"2021-03-25","TFAS"
865,885,815,875,641800,"2021-03-26","TFAS"
880,900,870,885,576600,"2021-03-29","TFAS"
885,900,870,870,565200,"2021-03-30","TFAS"
880,900,865,885,707900,"2021-03-31","TFAS"
900,915,825,885,14178200,"2021-04-01","TFAS"
900,1105,900,1105,2166200,"2021-04-05","TFAS"
1150,1380,1150,1380,1514400,"2021-04-06","TFAS"
1380,1725,1330,1690,3857400,"2021-04-07","TFAS"
1700,1800,1575,1620,2723300,"2021-04-08","TFAS"
1620,1705,1615,1665,841300,"2021-04-09","TFAS"
1675,1720,1650,1695,776300,"2021-04-12","TFAS"
1695,1705,1680,1705,437000,"2021-04-13","TFAS"
1705,2000,1685,1930,11984500,"2021-04-14","TFAS"
1930,1930,1930,1930,0,"2021-04-15","TFAS"
1930,2410,1900,2350,3823000,"2021-04-16","TFAS"
2350,2900,2350,2900,2288500,"2021-04-19","TFAS"
2900,2900,2900,2900,0,"2021-04-20","TFAS"
2900,2900,2900,2900,0,"2021-04-21","TFAS"
2900,2900,2900,2900,0,"2021-04-22","TFAS"
2900,2900,2900,2900,0,"2021-04-23","TFAS"
2900,2900,2900,2900,0,"2021-04-26","TFAS"
2900,2900,2900,2900,0,"2021-04-27","TFAS"
2900,2900,2900,2900,0,"2021-04-28","TFAS"
2900,2900,2900,2900,0,"2021-04-29","TFAS"
2900,2900,2900,2900,0,"2021-04-30","TFAS"
2900,2900,2900,2900,0,"2021-05-03","TFAS"
2900,2900,2900,2900,0,"2021-05-04","TFAS"
