"Open","High","Low","Close","Volume","Date","Emiten"
680,700,580,615,173313600,"2022-04-12","TLDN"
610,625,580,600,36645400,"2022-04-13","TLDN"
600,605,585,605,9454200,"2022-04-14","TLDN"
610,610,580,595,7916400,"2022-04-18","TLDN"
590,600,565,585,8533200,"2022-04-19","TLDN"
590,595,570,590,4600000,"2022-04-20","TLDN"
590,665,585,665,63102300,"2022-04-21","TLDN"
665,665,625,665,11061300,"2022-04-22","TLDN"
660,665,620,645,9398100,"2022-04-25","TLDN"
630,670,610,670,18112600,"2022-04-26","TLDN"
680,680,650,670,7704000,"2022-04-27","TLDN"
660,675,655,665,4791200,"2022-04-28","TLDN"
665,670,640,650,1247300,"2022-05-09","TLDN"
645,650,605,645,2384700,"2022-05-10","TLDN"
650,680,635,680,2382900,"2022-05-11","TLDN"
680,690,665,680,1527300,"2022-05-12","TLDN"
670,675,660,675,1141600,"2022-05-13","TLDN"
675,680,660,665,883100,"2022-05-17","TLDN"
665,675,655,670,736700,"2022-05-18","TLDN"
660,680,655,680,1079700,"2022-05-19","TLDN"
680,750,675,725,2686900,"2022-05-20","TLDN"
725,740,715,735,1337300,"2022-05-23","TLDN"
735,740,700,720,2127500,"2022-05-24","TLDN"
720,725,710,715,893100,"2022-05-25","TLDN"
725,745,715,720,1554800,"2022-05-27","TLDN"
720,805,720,720,2573600,"2022-05-30","TLDN"
720,735,695,695,1715400,"2022-05-31","TLDN"
695,695,670,695,1477400,"2022-06-02","TLDN"
695,710,685,695,1511300,"2022-06-03","TLDN"
690,700,680,685,1153900,"2022-06-06","TLDN"
685,700,680,690,731900,"2022-06-07","TLDN"
695,695,675,680,1126400,"2022-06-08","TLDN"
680,690,670,685,1516400,"2022-06-09","TLDN"
685,685,660,665,1541800,"2022-06-10","TLDN"
660,660,630,640,1178700,"2022-06-13","TLDN"
635,645,610,645,1446500,"2022-06-14","TLDN"
645,650,635,645,494900,"2022-06-15","TLDN"
645,670,645,660,522800,"2022-06-16","TLDN"
655,660,645,650,508400,"2022-06-17","TLDN"
650,650,630,650,688200,"2022-06-20","TLDN"
645,650,635,650,606900,"2022-06-21","TLDN"
645,655,640,650,780800,"2022-06-22","TLDN"
645,650,635,640,601300,"2022-06-23","TLDN"
640,650,640,650,559100,"2022-06-24","TLDN"
650,650,630,640,773600,"2022-06-27","TLDN"
630,640,625,625,888000,"2022-06-28","TLDN"
625,640,600,615,847400,"2022-06-29","TLDN"
620,630,580,615,1642600,"2022-06-30","TLDN"
615,615,585,595,1255000,"2022-07-01","TLDN"
585,595,565,585,998200,"2022-07-04","TLDN"
580,600,575,600,1109900,"2022-07-05","TLDN"
600,600,570,595,866700,"2022-07-06","TLDN"
595,600,590,595,784500,"2022-07-07","TLDN"
595,605,590,595,1000400,"2022-07-08","TLDN"
595,600,590,595,479000,"2022-07-11","TLDN"
590,600,580,585,622100,"2022-07-12","TLDN"
585,590,580,585,317800,"2022-07-13","TLDN"
585,595,580,585,477700,"2022-07-14","TLDN"
585,590,585,590,372800,"2022-07-15","TLDN"
590,595,575,590,881500,"2022-07-18","TLDN"
590,590,585,590,528700,"2022-07-19","TLDN"
590,595,585,595,1523200,"2022-07-20","TLDN"
595,600,585,590,1028900,"2022-07-21","TLDN"
590,595,580,590,423400,"2022-07-22","TLDN"
590,600,585,595,652400,"2022-07-25","TLDN"
590,600,585,595,542600,"2022-07-26","TLDN"
595,595,580,595,1200900,"2022-07-27","TLDN"
610,610,590,600,2468500,"2022-07-28","TLDN"
600,605,590,600,1311400,"2022-07-29","TLDN"
600,635,600,635,1506600,"2022-08-01","TLDN"
635,640,620,635,883300,"2022-08-02","TLDN"
635,640,615,635,808400,"2022-08-03","TLDN"
635,635,620,635,572300,"2022-08-04","TLDN"
635,635,605,605,1085200,"2022-08-05","TLDN"
605,615,590,605,1593300,"2022-08-08","TLDN"
605,615,590,600,991500,"2022-08-09","TLDN"
595,615,595,610,586300,"2022-08-10","TLDN"
605,610,600,605,507000,"2022-08-11","TLDN"
