"Open","High","Low","Close","Volume","Date","Emiten"
160,171,160,171,5151900,"2022-08-09","TOOL"
230,230,160,160,447526600,"2022-08-10","TOOL"
149,149,149,149,21801500,"2022-08-11","TOOL"
139,139,139,139,35451300,"2022-08-12","TOOL"
130,150,130,138,492939300,"2022-08-15","TOOL"
137,140,133,136,68993000,"2022-08-16","TOOL"
136,139,133,136,45195200,"2022-08-18","TOOL"
137,140,133,134,41741600,"2022-08-19","TOOL"
135,138,131,135,43652000,"2022-08-22","TOOL"
135,145,134,140,235170600,"2022-08-23","TOOL"
139,141,134,136,55927000,"2022-08-24","TOOL"
139,139,133,136,19617800,"2022-08-25","TOOL"
137,137,130,131,34565300,"2022-08-26","TOOL"
124,131,123,124,35262800,"2022-08-29","TOOL"
117,125,117,118,31596800,"2022-08-30","TOOL"
121,121,112,114,15152400,"2022-08-31","TOOL"
107,122,107,114,39351600,"2022-09-01","TOOL"
111,117,111,115,9137000,"2022-09-02","TOOL"
115,116,110,111,9758700,"2022-09-05","TOOL"
111,116,104,112,38086600,"2022-09-06","TOOL"
113,115,110,112,5466700,"2022-09-07","TOOL"
111,114,108,109,9266200,"2022-09-08","TOOL"
109,116,107,111,31105800,"2022-09-09","TOOL"
112,113,107,107,18120900,"2022-09-12","TOOL"
100,112,100,107,15188200,"2022-09-13","TOOL"
107,108,102,103,17112000,"2022-09-14","TOOL"
96,104,96,100,14256500,"2022-09-15","TOOL"
100,102,96,99,14861000,"2022-09-16","TOOL"
99,100,93,95,13116800,"2022-09-19","TOOL"
90,95,89,89,23141400,"2022-09-20","TOOL"
83,114,83,105,198729300,"2022-09-21","TOOL"
106,115,105,105,115674000,"2022-09-22","TOOL"
105,105,98,99,35657200,"2022-09-23","TOOL"
94,115,94,115,95304000,"2022-09-26","TOOL"
116,117,107,107,64318900,"2022-09-27","TOOL"
103,110,101,105,19213000,"2022-09-28","TOOL"
105,111,99,102,29153200,"2022-09-29","TOOL"
102,102,95,97,14458000,"2022-09-30","TOOL"
94,104,94,96,20297100,"2022-10-03","TOOL"
93,101,93,96,12762200,"2022-10-04","TOOL"
96,99,96,96,10433800,"2022-10-05","TOOL"
95,98,95,96,4171500,"2022-10-06","TOOL"
96,100,94,95,10602800,"2022-10-07","TOOL"
95,97,93,94,6405100,"2022-10-10","TOOL"
94,95,92,92,4341600,"2022-10-11","TOOL"
92,93,88,90,10788300,"2022-10-12","TOOL"
90,97,88,90,28565100,"2022-10-13","TOOL"
89,91,84,84,21352600,"2022-10-14","TOOL"
79,86,79,80,10420200,"2022-10-17","TOOL"
80,81,79,80,4594900,"2022-10-18","TOOL"
80,83,79,80,9114000,"2022-10-19","TOOL"
80,82,79,82,3260500,"2022-10-20","TOOL"
82,85,80,84,11564900,"2022-10-21","TOOL"
83,86,83,85,5343200,"2022-10-24","TOOL"
85,89,84,85,6767800,"2022-10-25","TOOL"
85,94,84,88,38063200,"2022-10-26","TOOL"
88,89,86,86,6616600,"2022-10-27","TOOL"
86,88,85,86,4437000,"2022-10-28","TOOL"
86,94,86,87,27687600,"2022-10-31","TOOL"
86,90,86,87,6038100,"2022-11-01","TOOL"
86,89,86,86,5636800,"2022-11-02","TOOL"
86,89,86,88,2829800,"2022-11-03","TOOL"
88,90,87,88,5440200,"2022-11-04","TOOL"
83,90,83,86,8740800,"2022-11-07","TOOL"
87,89,86,87,5839900,"2022-11-08","TOOL"
88,94,87,90,16686500,"2022-11-09","TOOL"
90,92,86,87,4385900,"2022-11-10","TOOL"
87,88,86,87,3878600,"2022-11-11","TOOL"
87,88,86,87,3464700,"2022-11-14","TOOL"
87,89,86,87,5104200,"2022-11-15","TOOL"
87,90,86,86,1852900,"2022-11-16","TOOL"
86,88,86,86,2510400,"2022-11-17","TOOL"
86,88,86,87,1193600,"2022-11-18","TOOL"
87,87,86,86,3509300,"2022-11-21","TOOL"
86,87,85,85,3375300,"2022-11-22","TOOL"
85,87,82,83,3707700,"2022-11-23","TOOL"
82,85,82,83,1689100,"2022-11-24","TOOL"
83,86,83,84,2378400,"2022-11-25","TOOL"
85,85,83,84,3803300,"2022-11-28","TOOL"
84,85,83,83,1192700,"2022-11-29","TOOL"
83,86,83,83,3658200,"2022-11-30","TOOL"
83,85,83,83,2657200,"2022-12-01","TOOL"
83,85,82,84,10700300,"2022-12-02","TOOL"
84,85,82,84,1786800,"2022-12-05","TOOL"
84,84,82,82,4890800,"2022-12-06","TOOL"
82,83,80,80,5420500,"2022-12-07","TOOL"
75,84,75,80,19578100,"2022-12-08","TOOL"
80,80,79,80,1109300,"2022-12-09","TOOL"
80,80,78,79,1440800,"2022-12-12","TOOL"
79,82,78,78,7496500,"2022-12-13","TOOL"
79,79,77,77,1496800,"2022-12-14","TOOL"
77,80,76,77,5350500,"2022-12-15","TOOL"
77,79,76,78,2262300,"2022-12-16","TOOL"
78,79,77,78,3702600,"2022-12-19","TOOL"
78,78,77,78,698400,"2022-12-20","TOOL"
73,81,73,77,9177500,"2022-12-21","TOOL"
78,78,76,76,1909000,"2022-12-22","TOOL"
77,81,76,78,6593700,"2022-12-23","TOOL"
79,80,77,79,3654400,"2022-12-26","TOOL"
80,81,76,77,5655300,"2022-12-27","TOOL"
77,78,77,77,1992000,"2022-12-28","TOOL"
77,78,76,77,2731700,"2022-12-29","TOOL"
77,78,77,77,1049100,"2022-12-30","TOOL"
77,78,76,76,738800,"2023-01-02","TOOL"
76,78,76,76,2364000,"2023-01-03","TOOL"
76,80,76,76,2626200,"2023-01-04","TOOL"
76,77,74,74,3870200,"2023-01-05","TOOL"
75,77,73,73,3978400,"2023-01-06","TOOL"
75,75,71,72,2246700,"2023-01-09","TOOL"
67,72,67,71,1859400,"2023-01-10","TOOL"
72,73,70,71,1472600,"2023-01-11","TOOL"
72,73,70,71,637900,"2023-01-12","TOOL"
75,75,71,72,572700,"2023-01-13","TOOL"
72,85,72,76,41897700,"2023-01-16","TOOL"
77,79,74,78,8344400,"2023-01-17","TOOL"
77,79,76,76,6652000,"2023-01-18","TOOL"
76,78,74,77,2820800,"2023-01-19","TOOL"
74,78,74,74,3816400,"2023-01-20","TOOL"
70,79,70,75,6790300,"2023-01-24","TOOL"
74,76,74,75,2318000,"2023-01-25","TOOL"
74,77,74,74,3270300,"2023-01-26","TOOL"
72,76,72,73,2114800,"2023-01-27","TOOL"
69,74,69,73,702700,"2023-01-30","TOOL"
69,77,69,73,3151200,"2023-01-31","TOOL"
73,75,72,73,1780500,"2023-02-01","TOOL"
73,74,72,73,1022300,"2023-02-02","TOOL"
72,81,72,76,7324000,"2023-02-03","TOOL"
74,78,74,76,3262900,"2023-02-06","TOOL"
76,82,75,76,15952600,"2023-02-07","TOOL"
77,78,75,75,2752800,"2023-02-08","TOOL"
77,77,70,70,23352100,"2023-02-09","TOOL"
70,71,69,70,3711900,"2023-02-10","TOOL"
70,74,69,70,8807200,"2023-02-13","TOOL"
70,70,69,69,1042100,"2023-02-14","TOOL"
69,70,67,69,1648100,"2023-02-15","TOOL"
69,70,68,69,1086400,"2023-02-16","TOOL"
70,73,67,73,8741000,"2023-02-17","TOOL"
78,79,74,75,26604400,"2023-02-20","TOOL"
75,75,70,71,12416700,"2023-02-21","TOOL"
71,73,70,71,7207200,"2023-02-22","TOOL"
71,73,71,71,8488900,"2023-02-23","TOOL"
71,71,69,70,2713200,"2023-02-24","TOOL"
70,72,70,70,2300000,"2023-02-27","TOOL"
71,71,69,71,1688400,"2023-02-28","TOOL"
72,72,70,71,686200,"2023-03-01","TOOL"
70,71,69,70,1995100,"2023-03-02","TOOL"
70,75,70,70,12868300,"2023-03-03","TOOL"
70,71,69,70,2363800,"2023-03-06","TOOL"
70,71,68,70,1152200,"2023-03-07","TOOL"
70,70,68,70,4728000,"2023-03-08","TOOL"
70,70,68,68,1453400,"2023-03-09","TOOL"
69,69,66,68,3463200,"2023-03-10","TOOL"
66,66,64,64,13715800,"2023-03-13","TOOL"
60,65,60,60,7438600,"2023-03-14","TOOL"
60,61,56,56,9055200,"2023-03-15","TOOL"
56,58,54,55,4354900,"2023-03-16","TOOL"
55,57,55,56,1863900,"2023-03-17","TOOL"
56,58,55,57,1077100,"2023-03-20","TOOL"
56,59,56,58,1162500,"2023-03-21","TOOL"
58,58,56,57,971700,"2023-03-24","TOOL"
58,58,56,57,2582200,"2023-03-27","TOOL"
58,58,57,58,908000,"2023-03-28","TOOL"
58,59,57,58,1098000,"2023-03-29","TOOL"
58,59,57,59,1956300,"2023-03-30","TOOL"
59,59,57,57,1197700,"2023-03-31","TOOL"
57,64,57,60,8530100,"2023-04-03","TOOL"
60,62,59,59,15780100,"2023-04-04","TOOL"
60,60,59,59,1480000,"2023-04-05","TOOL"
59,61,59,59,1305300,"2023-04-06","TOOL"
59,66,59,59,13601000,"2023-04-10","TOOL"
59,60,59,59,2327300,"2023-04-11","TOOL"
59,60,58,60,757300,"2023-04-12","TOOL"
60,60,59,59,3070100,"2023-04-13","TOOL"
60,61,59,59,2229200,"2023-04-14","TOOL"
60,63,59,59,8471500,"2023-04-17","TOOL"
59,60,59,60,1704500,"2023-04-18","TOOL"
60,60,59,59,438000,"2023-04-26","TOOL"
59,60,59,60,838800,"2023-04-27","TOOL"
59,60,58,59,7354000,"2023-04-28","TOOL"
59,60,57,59,18352100,"2023-05-02","TOOL"
59,59,58,58,1173400,"2023-05-03","TOOL"
59,61,55,55,14691500,"2023-05-04","TOOL"
55,57,55,57,756900,"2023-05-05","TOOL"
56,58,55,57,1455200,"2023-05-08","TOOL"
57,58,55,58,1338400,"2023-05-09","TOOL"
57,60,56,58,2080100,"2023-05-10","TOOL"
58,59,56,59,5940000,"2023-05-11","TOOL"
59,60,57,59,353300,"2023-05-12","TOOL"
59,59,57,58,532300,"2023-05-15","TOOL"
