"Open","High","Low","Close","Volume","Date","Emiten"
31.4,31.4,22.4,31.4,242075000,"2010-03-08","TOWR"
39.200001,39.200001,32.400002,39.200001,50050000,"2010-03-09","TOWR"
49,49,48.5,49,1750000,"2010-03-10","TOWR"
61,61,60,61,1225000,"2010-03-11","TOWR"
50.5,76,46,50.5,62375000,"2010-03-12","TOWR"
46,52,43.5,46,17225000,"2010-03-15","TOWR"
44,48,43,44,7825000,"2010-03-17","TOWR"
41.5,44,38,41.5,15600000,"2010-03-18","TOWR"
41.5,42,40.5,41.5,2525000,"2010-03-19","TOWR"
51.5,51.5,39,51.5,26175000,"2010-03-22","TOWR"
52.5,62.5,51.5,52.5,54825000,"2010-03-23","TOWR"
50.5,55.5,50.5,50.5,6725000,"2010-03-24","TOWR"
46,51,46,46,4225000,"2010-03-25","TOWR"
48,50,48,48,2850000,"2010-03-26","TOWR"
47,50.5,47,47,1800000,"2010-03-29","TOWR"
47,49.5,47,47,1325000,"2010-03-30","TOWR"
47,48,46,47,2450000,"2010-03-31","TOWR"
44.5,47.5,44,44.5,6575000,"2010-04-01","TOWR"
44.5,44.5,44.5,44.5,0,"2010-04-05","TOWR"
44.5,46,44,44.5,3325000,"2010-04-06","TOWR"
44,46,43.5,44,1450000,"2010-04-07","TOWR"
43,45,43,43,1600000,"2010-04-08","TOWR"
43,43,42,43,1600000,"2010-04-09","TOWR"
42.5,43.5,40,42.5,975000,"2010-04-12","TOWR"
43.5,44,42,43.5,1925000,"2010-04-13","TOWR"
42,44,41,42,1525000,"2010-04-14","TOWR"
41.5,42,41,41.5,825000,"2010-04-15","TOWR"
43,47,41,43,7250000,"2010-04-16","TOWR"
42.5,44,42.5,42.5,2800000,"2010-04-19","TOWR"
43.5,45.5,42.5,43.5,2825000,"2010-04-20","TOWR"
45,45.5,43.5,45,2125000,"2010-04-21","TOWR"
42.5,43.5,42.5,42.5,1725000,"2010-04-22","TOWR"
43,44,43,43,1175000,"2010-04-23","TOWR"
43,43,42.5,43,1475000,"2010-04-26","TOWR"
42,43,42,42,575000,"2010-04-27","TOWR"
41,43.5,41,41,2875000,"2010-04-28","TOWR"
43.5,43.5,41,43.5,2575000,"2010-04-29","TOWR"
43.5,45.5,43,43.5,3950000,"2010-04-30","TOWR"
43,46,43,43,650000,"2010-05-03","TOWR"
42,42.5,42,42,975000,"2010-05-04","TOWR"
40,41.5,40,40,1275000,"2010-05-05","TOWR"
38,40,38,38,1325000,"2010-05-06","TOWR"
38.799999,40,37.599998,38.799999,825000,"2010-05-07","TOWR"
38.799999,38.799999,38.799999,38.799999,0,"2010-05-10","TOWR"
40,40,40,40,825000,"2010-05-11","TOWR"
39,40,38,39,1250000,"2010-05-12","TOWR"
38,42,38,38,450000,"2010-05-14","TOWR"
38,38,38,38,75000,"2010-05-17","TOWR"
44,45,37.599998,44,22575000,"2010-05-18","TOWR"
41,43.5,41,41,7625000,"2010-05-19","TOWR"
41,42,39.599998,41,5100000,"2010-05-20","TOWR"
