"Open","High","Low","Close","Volume","Date","Emiten"
345,345,300,345,12339500,"2013-02-20","TPMA"
365,430,345,365,17710000,"2013-02-21","TPMA"
330,370,330,330,3348000,"2013-02-22","TPMA"
320,350,300,320,1418500,"2013-02-25","TPMA"
340,385,325,340,12576500,"2013-02-26","TPMA"
330,345,330,330,570500,"2013-02-27","TPMA"
335,340,330,335,1516000,"2013-02-28","TPMA"
345,345,335,345,1024500,"2013-03-01","TPMA"
345,400,345,345,16461000,"2013-03-04","TPMA"
350,365,345,350,2927000,"2013-03-05","TPMA"
355,360,350,355,1439000,"2013-03-06","TPMA"
350,370,350,350,4384500,"2013-03-07","TPMA"
350,355,350,350,1159000,"2013-03-08","TPMA"
355,355,350,355,740000,"2013-03-11","TPMA"
355,380,350,355,6657000,"2013-03-13","TPMA"
345,355,345,345,386000,"2013-03-14","TPMA"
355,355,345,355,489000,"2013-03-15","TPMA"
355,370,350,355,9153000,"2013-03-18","TPMA"
350,355,345,350,1608500,"2013-03-19","TPMA"
345,355,340,345,769500,"2013-03-20","TPMA"
345,350,340,345,1098000,"2013-03-21","TPMA"
335,345,335,335,636500,"2013-03-22","TPMA"
340,340,335,340,225000,"2013-03-25","TPMA"
335,345,335,335,39000,"2013-03-26","TPMA"
345,350,335,345,884000,"2013-03-27","TPMA"
340,345,340,340,82000,"2013-03-28","TPMA"
340,355,340,340,1390000,"2013-04-01","TPMA"
345,350,340,345,116500,"2013-04-02","TPMA"
355,355,340,355,3,"2013-04-03","TPMA"
365,365,355,365,1399500,"2013-04-04","TPMA"
350,365,350,350,157000,"2013-04-05","TPMA"
365,370,345,365,2362000,"2013-04-08","TPMA"
360,370,360,360,967000,"2013-04-09","TPMA"
360,375,360,360,2094500,"2013-04-10","TPMA"
365,375,360,365,1748000,"2013-04-11","TPMA"
360,370,355,360,315000,"2013-04-12","TPMA"
355,370,355,355,137500,"2013-04-15","TPMA"
355,355,355,355,137500,"2013-04-16","TPMA"
365,370,360,365,1713000,"2013-04-17","TPMA"
360,360,355,360,152500,"2013-04-18","TPMA"
355,355,355,355,135500,"2013-04-19","TPMA"
355,360,355,360,3,"2013-04-22","TPMA"
355,355,355,355,0,"2013-04-23","TPMA"
350,355,350,355,463500,"2013-04-24","TPMA"
350,365,350,360,6e+05,"2013-04-25","TPMA"
355,375,355,375,3,"2013-04-26","TPMA"
375,375,355,355,3,"2013-04-29","TPMA"
360,375,350,360,2099500,"2013-04-30","TPMA"
360,370,355,360,655000,"2013-05-01","TPMA"
360,360,360,360,654000,"2013-05-02","TPMA"
