"Open","High","Low","Close","Volume","Date","Emiten"
135,135,135,135,6500,"2021-06-10","TRUE"
182,182,182,182,16700,"2021-06-11","TRUE"
244,244,206,244,22008400,"2021-06-14","TRUE"
298,304,282,304,3438600,"2021-06-15","TRUE"
380,380,380,380,1514700,"2021-06-16","TRUE"
400,474,400,474,3064800,"2021-06-17","TRUE"
505,590,505,590,3569600,"2021-06-18","TRUE"
590,590,590,590,0,"2021-06-21","TRUE"
590,735,590,735,3076500,"2021-06-22","TRUE"
850,915,685,685,6317900,"2021-06-23","TRUE"
640,640,640,640,182300,"2021-06-24","TRUE"
600,600,600,600,96700,"2021-06-25","TRUE"
560,560,560,560,98300,"2021-06-28","TRUE"
525,525,525,525,39000,"2021-06-29","TRUE"
490,490,490,490,49400,"2021-06-30","TRUE"
456,456,456,456,108700,"2021-07-01","TRUE"
426,426,426,426,157800,"2021-07-02","TRUE"
426,426,398,398,259300,"2021-07-05","TRUE"
372,372,372,372,127000,"2021-07-06","TRUE"
346,464,346,464,25943100,"2021-07-07","TRUE"
494,580,494,580,11788100,"2021-07-08","TRUE"
650,725,540,540,16327100,"2021-07-09","TRUE"
540,550,505,505,332900,"2021-07-12","TRUE"
470,610,470,482,9806800,"2021-07-13","TRUE"
484,525,450,478,1760600,"2021-07-14","TRUE"
478,550,470,482,4168600,"2021-07-15","TRUE"
482,520,468,474,1920700,"2021-07-16","TRUE"
474,590,474,590,15880900,"2021-07-19","TRUE"
615,635,550,550,10050500,"2021-07-21","TRUE"
550,685,515,685,33017200,"2021-07-22","TRUE"
710,815,640,710,42655000,"2021-07-23","TRUE"
710,735,665,665,10031900,"2021-07-26","TRUE"
665,725,620,620,14967900,"2021-07-27","TRUE"
640,670,595,660,4825500,"2021-07-28","TRUE"
670,825,670,825,18802700,"2021-07-29","TRUE"
890,1030,810,920,54012300,"2021-07-30","TRUE"
920,920,920,920,0,"2021-08-02","TRUE"
920,920,920,920,0,"2021-08-03","TRUE"
920,920,920,920,0,"2021-08-04","TRUE"
920,920,920,920,0,"2021-08-05","TRUE"
920,1005,860,860,20603400,"2021-08-06","TRUE"
840,840,800,800,673500,"2021-08-09","TRUE"
745,865,745,825,12260200,"2021-08-10","TRUE"
830,865,770,785,9681300,"2021-08-12","TRUE"
790,820,740,740,7351000,"2021-08-13","TRUE"
740,800,705,775,1617700,"2021-08-16","TRUE"
785,835,725,725,103441000,"2021-08-18","TRUE"
675,700,675,675,911300,"2021-08-19","TRUE"
630,630,630,630,251800,"2021-08-20","TRUE"
630,670,590,650,3676400,"2021-08-23","TRUE"
650,715,605,605,19378500,"2021-08-24","TRUE"
625,665,565,565,43024200,"2021-08-25","TRUE"
530,570,530,530,10514500,"2021-08-26","TRUE"
515,580,494,494,71267000,"2021-08-27","TRUE"
460,470,460,460,11215800,"2021-08-30","TRUE"
454,462,428,428,30158300,"2021-08-31","TRUE"
428,438,400,400,15954600,"2021-09-01","TRUE"
396,412,372,372,21308800,"2021-09-02","TRUE"
368,384,346,346,22489800,"2021-09-03","TRUE"
348,348,322,322,25720700,"2021-09-06","TRUE"
322,402,300,300,410128300,"2021-09-07","TRUE"
300,300,280,280,21429600,"2021-09-08","TRUE"
262,262,262,262,2468100,"2021-09-09","TRUE"
244,276,244,244,32297500,"2021-09-10","TRUE"
228,228,228,228,2430400,"2021-09-13","TRUE"
214,234,214,214,82334400,"2021-09-14","TRUE"
204,266,202,266,181984100,"2021-09-15","TRUE"
292,332,290,332,233971800,"2021-09-16","TRUE"
364,380,310,310,472971600,"2021-09-17","TRUE"
290,290,290,290,4979100,"2021-09-20","TRUE"
270,270,270,270,3459000,"2021-09-21","TRUE"
256,292,252,262,226585900,"2021-09-22","TRUE"
262,278,250,252,37681400,"2021-09-23","TRUE"
250,260,236,236,28145200,"2021-09-24","TRUE"
236,236,220,220,17390100,"2021-09-27","TRUE"
218,254,206,224,119919000,"2021-09-28","TRUE"
224,248,224,232,62740700,"2021-09-29","TRUE"
232,236,216,218,20545700,"2021-09-30","TRUE"
220,232,220,220,15873800,"2021-10-01","TRUE"
222,226,216,216,10511300,"2021-10-04","TRUE"
218,240,214,224,36329200,"2021-10-05","TRUE"
224,228,216,218,13829200,"2021-10-06","TRUE"
220,222,216,216,7038600,"2021-10-07","TRUE"
218,218,214,214,4958700,"2021-10-08","TRUE"
216,216,206,208,10221800,"2021-10-11","TRUE"
210,220,202,208,34510500,"2021-10-12","TRUE"
206,210,202,204,6032500,"2021-10-13","TRUE"
204,244,204,236,162582900,"2021-10-14","TRUE"
238,258,228,230,123270000,"2021-10-15","TRUE"
232,258,214,214,275765900,"2021-10-18","TRUE"
200,250,200,200,344591500,"2021-10-19","TRUE"
202,204,186,188,162013500,"2021-10-21","TRUE"
188,194,175,175,501157300,"2021-10-22","TRUE"
175,183,163,163,256864000,"2021-10-25","TRUE"
165,165,156,156,30080400,"2021-10-26","TRUE"
157,169,157,165,90996500,"2021-10-27","TRUE"
165,166,158,160,20586200,"2021-10-28","TRUE"
161,162,155,159,18380500,"2021-10-29","TRUE"
159,164,159,159,16186000,"2021-11-01","TRUE"
160,161,153,156,10821200,"2021-11-02","TRUE"
156,157,152,153,10355900,"2021-11-03","TRUE"
153,165,152,160,64032800,"2021-11-04","TRUE"
160,161,157,157,11094500,"2021-11-05","TRUE"
157,159,155,158,7302300,"2021-11-08","TRUE"
158,164,158,161,17875000,"2021-11-09","TRUE"
161,162,157,160,8181700,"2021-11-10","TRUE"
160,160,156,158,4919900,"2021-11-11","TRUE"
159,159,156,156,7519700,"2021-11-12","TRUE"
157,158,152,153,8887000,"2021-11-15","TRUE"
153,154,151,152,6315300,"2021-11-16","TRUE"
153,153,150,152,4914400,"2021-11-17","TRUE"
154,170,152,158,199715300,"2021-11-18","TRUE"
159,173,155,165,341005100,"2021-11-19","TRUE"
167,173,154,154,754048100,"2021-11-22","TRUE"
144,149,144,144,51820200,"2021-11-23","TRUE"
134,137,134,135,106160800,"2021-11-24","TRUE"
135,141,126,128,370724500,"2021-11-25","TRUE"
129,130,120,121,30653800,"2021-11-26","TRUE"
121,123,113,113,28694100,"2021-11-29","TRUE"
113,115,106,106,24277400,"2021-11-30","TRUE"
106,111,100,101,27496200,"2021-12-01","TRUE"
100,101,98,98,14583700,"2021-12-02","TRUE"
98,101,92,92,142808700,"2021-12-03","TRUE"
93,101,87,96,120434600,"2021-12-06","TRUE"
96,100,95,98,41970000,"2021-12-07","TRUE"
98,113,96,106,166118900,"2021-12-08","TRUE"
106,131,106,130,330121000,"2021-12-09","TRUE"
140,142,121,124,378342600,"2021-12-10","TRUE"
126,126,116,117,54373800,"2021-12-13","TRUE"
117,124,117,121,55771200,"2021-12-14","TRUE"
123,128,113,116,219718200,"2021-12-15","TRUE"
117,120,110,113,22334300,"2021-12-16","TRUE"
118,118,110,110,13848600,"2021-12-17","TRUE"
110,115,106,107,14078800,"2021-12-20","TRUE"
103,110,100,106,13325700,"2021-12-21","TRUE"
108,118,107,114,44850800,"2021-12-22","TRUE"
115,118,111,111,20105900,"2021-12-23","TRUE"
112,115,104,104,106466600,"2021-12-24","TRUE"
105,107,101,104,12130600,"2021-12-27","TRUE"
105,107,104,104,7763600,"2021-12-28","TRUE"
105,105,101,103,9699900,"2021-12-29","TRUE"
103,103,100,101,5891500,"2021-12-30","TRUE"
101,106,101,104,14453400,"2022-01-03","TRUE"
105,109,104,107,20924900,"2022-01-04","TRUE"
107,108,104,104,8663700,"2022-01-05","TRUE"
105,113,102,109,44946800,"2022-01-06","TRUE"
110,111,104,106,13648500,"2022-01-07","TRUE"
107,110,103,108,16588900,"2022-01-10","TRUE"
108,109,104,104,9357000,"2022-01-11","TRUE"
104,114,103,111,37056300,"2022-01-12","TRUE"
111,121,109,118,116351900,"2022-01-13","TRUE"
118,123,115,121,55134800,"2022-01-14","TRUE"
123,126,116,122,39974400,"2022-01-17","TRUE"
123,127,121,123,42862600,"2022-01-18","TRUE"
123,125,121,124,14443900,"2022-01-19","TRUE"
124,129,121,122,39064800,"2022-01-20","TRUE"
122,155,121,129,470728200,"2022-01-21","TRUE"
130,135,124,128,86804700,"2022-01-24","TRUE"
129,129,120,120,32908000,"2022-01-25","TRUE"
114,125,112,116,46061400,"2022-01-26","TRUE"
118,121,115,118,16814600,"2022-01-27","TRUE"
119,119,114,115,11202700,"2022-01-28","TRUE"
114,121,113,117,17831700,"2022-01-31","TRUE"
118,121,117,118,11936800,"2022-02-02","TRUE"
118,127,118,125,34201700,"2022-02-03","TRUE"
127,129,123,123,24592700,"2022-02-04","TRUE"
124,126,122,124,8056700,"2022-02-07","TRUE"
124,126,122,123,8629300,"2022-02-08","TRUE"
123,134,115,115,477902900,"2022-02-09","TRUE"
115,115,107,107,54874000,"2022-02-10","TRUE"
107,110,107,108,15923200,"2022-02-11","TRUE"
109,111,104,105,12763700,"2022-02-14","TRUE"
105,106,102,103,11085300,"2022-02-15","TRUE"
104,109,102,106,11578400,"2022-02-16","TRUE"
106,113,106,110,43767800,"2022-02-17","TRUE"
110,111,107,108,13435600,"2022-02-18","TRUE"
108,110,107,108,7921800,"2022-02-21","TRUE"
108,109,105,107,5584400,"2022-02-22","TRUE"
107,108,105,105,5938200,"2022-02-23","TRUE"
105,107,98,100,11745700,"2022-02-24","TRUE"
100,103,94,100,7798000,"2022-02-25","TRUE"
100,103,99,100,5303200,"2022-03-01","TRUE"
100,101,99,99,4167500,"2022-03-02","TRUE"
99,100,97,97,6319400,"2022-03-04","TRUE"
98,99,94,96,5971200,"2022-03-07","TRUE"
96,99,96,96,4758400,"2022-03-08","TRUE"
97,106,96,101,23167800,"2022-03-09","TRUE"
103,103,99,100,5963800,"2022-03-10","TRUE"
100,103,98,100,5551400,"2022-03-11","TRUE"
100,100,100,100,0,"2022-03-14","TRUE"
99,128,99,108,491796400,"2022-03-15","TRUE"
109,117,103,105,144432700,"2022-03-16","TRUE"
106,110,104,104,41731100,"2022-03-17","TRUE"
105,108,103,104,11426100,"2022-03-18","TRUE"
104,110,100,101,38403400,"2022-03-21","TRUE"
101,104,100,102,7043100,"2022-03-22","TRUE"
102,106,101,103,18859200,"2022-03-23","TRUE"
104,105,102,103,11124100,"2022-03-24","TRUE"
102,104,101,102,5621800,"2022-03-25","TRUE"
102,106,101,104,19321500,"2022-03-28","TRUE"
106,106,103,104,7626000,"2022-03-29","TRUE"
104,105,101,102,6242600,"2022-03-30","TRUE"
103,104,101,102,7851200,"2022-03-31","TRUE"
102,104,99,101,15545800,"2022-04-01","TRUE"
101,101,99,100,6178100,"2022-04-04","TRUE"
101,102,99,102,5654700,"2022-04-05","TRUE"
102,108,101,108,79376400,"2022-04-06","TRUE"
110,112,106,108,51348800,"2022-04-07","TRUE"
108,112,105,107,23797300,"2022-04-08","TRUE"
107,110,103,109,24499600,"2022-04-11","TRUE"
110,119,102,102,938610000,"2022-04-12","TRUE"
99,103,95,95,83195800,"2022-04-13","TRUE"
89,93,89,90,102669100,"2022-04-14","TRUE"
90,94,89,94,28928700,"2022-04-18","TRUE"
95,95,91,92,19363800,"2022-04-19","TRUE"
93,95,90,92,13986300,"2022-04-20","TRUE"
92,93,90,91,7883800,"2022-04-21","TRUE"
92,92,90,91,8470400,"2022-04-22","TRUE"
91,92,89,90,9746400,"2022-04-25","TRUE"
89,92,89,90,6218100,"2022-04-26","TRUE"
90,91,87,89,9903500,"2022-04-27","TRUE"
90,90,83,85,25316600,"2022-04-28","TRUE"
85,88,83,85,9255100,"2022-05-09","TRUE"
84,85,81,82,9900900,"2022-05-10","TRUE"
82,85,82,84,3660500,"2022-05-11","TRUE"
84,87,80,81,7231800,"2022-05-12","TRUE"
83,85,78,79,7858600,"2022-05-13","TRUE"
79,83,78,79,6174400,"2022-05-17","TRUE"
79,82,79,81,3166600,"2022-05-18","TRUE"
81,81,78,80,3716500,"2022-05-19","TRUE"
80,81,79,80,4889200,"2022-05-20","TRUE"
80,84,79,80,9602800,"2022-05-23","TRUE"
80,81,80,81,2035200,"2022-05-24","TRUE"
81,82,78,80,6302300,"2022-05-25","TRUE"
80,85,79,80,25395000,"2022-05-27","TRUE"
80,81,79,79,6251100,"2022-05-30","TRUE"
80,81,79,81,4182500,"2022-05-31","TRUE"
81,82,80,81,4701100,"2022-06-02","TRUE"
81,109,76,76,1081851600,"2022-06-03","TRUE"
71,71,71,71,55364600,"2022-06-06","TRUE"
67,71,67,67,132431100,"2022-06-07","TRUE"
67,75,67,70,153349300,"2022-06-08","TRUE"
75,75,68,70,45935100,"2022-06-09","TRUE"
70,70,68,69,26279100,"2022-06-10","TRUE"
70,70,66,68,15426400,"2022-06-13","TRUE"
68,68,66,67,11542100,"2022-06-14","TRUE"
68,68,63,64,19639500,"2022-06-15","TRUE"
66,66,61,63,12493000,"2022-06-16","TRUE"
64,69,61,64,32829800,"2022-06-17","TRUE"
65,66,62,64,9506600,"2022-06-20","TRUE"
65,67,62,64,15936400,"2022-06-21","TRUE"
64,66,64,65,4974700,"2022-06-22","TRUE"
65,66,64,64,6207400,"2022-06-23","TRUE"
64,66,64,65,4695900,"2022-06-24","TRUE"
65,66,64,65,5460800,"2022-06-27","TRUE"
65,65,63,64,4601500,"2022-06-28","TRUE"
