"Open","High","Low","Close","Volume","Date","Emiten"
168,168,168,168,15200,"2020-07-06","UANG"
216,226,200,226,89000,"2020-07-07","UANG"
242,282,242,282,666900,"2020-07-08","UANG"
322,352,284,352,6558400,"2020-07-09","UANG"
400,440,368,440,4885900,"2020-07-10","UANG"
462,550,462,550,3736600,"2020-07-13","UANG"
650,685,645,685,1733100,"2020-07-14","UANG"
850,855,640,640,3636400,"2020-07-15","UANG"
600,600,600,600,80000,"2020-07-16","UANG"
560,560,560,560,24300,"2020-07-17","UANG"
525,525,525,525,15000,"2020-07-20","UANG"
490,515,490,490,1539600,"2020-07-21","UANG"
480,480,456,456,174700,"2020-07-22","UANG"
426,520,426,505,3688000,"2020-07-23","UANG"
515,565,470,470,1731700,"2020-07-24","UANG"
470,470,438,438,57200,"2020-07-27","UANG"
450,450,408,408,21400,"2020-07-28","UANG"
380,440,380,380,862900,"2020-07-29","UANG"
380,380,354,354,558700,"2020-07-30","UANG"
354,442,330,442,3636700,"2020-08-03","UANG"
444,462,412,412,1255000,"2020-08-04","UANG"
412,412,384,384,73800,"2020-08-05","UANG"
358,358,358,358,182400,"2020-08-06","UANG"
340,358,334,334,117200,"2020-08-07","UANG"
330,368,312,320,1401500,"2020-08-10","UANG"
318,344,312,324,191200,"2020-08-11","UANG"
324,328,304,304,351100,"2020-08-12","UANG"
324,324,290,310,281700,"2020-08-13","UANG"
298,316,290,290,228100,"2020-08-14","UANG"
314,314,270,270,520200,"2020-08-18","UANG"
270,270,254,254,78500,"2020-08-19","UANG"
256,262,238,238,280400,"2020-08-24","UANG"
238,264,222,252,406300,"2020-08-25","UANG"
252,280,252,266,293000,"2020-08-26","UANG"
276,276,256,268,137800,"2020-08-27","UANG"
280,280,260,268,27900,"2020-08-28","UANG"
288,288,250,260,105400,"2020-08-31","UANG"
270,270,260,264,15200,"2020-09-01","UANG"
276,276,260,270,5000,"2020-09-02","UANG"
260,270,252,252,65200,"2020-09-03","UANG"
272,272,236,240,98100,"2020-09-04","UANG"
260,260,230,230,43300,"2020-09-07","UANG"
266,266,214,244,24400,"2020-09-08","UANG"
230,242,228,230,65700,"2020-09-09","UANG"
250,250,214,214,85500,"2020-09-10","UANG"
214,230,200,230,126800,"2020-09-11","UANG"
250,250,216,244,8600,"2020-09-14","UANG"
264,264,228,238,55700,"2020-09-15","UANG"
258,258,222,228,29200,"2020-09-16","UANG"
248,248,214,214,47100,"2020-09-17","UANG"
234,234,200,210,55500,"2020-09-18","UANG"
230,230,196,197,110000,"2020-09-21","UANG"
226,226,197,204,28700,"2020-09-22","UANG"
224,224,191,206,16100,"2020-09-23","UANG"
226,226,194,200,1200,"2020-09-24","UANG"
220,220,187,218,5900,"2020-09-25","UANG"
206,206,204,204,32600,"2020-09-28","UANG"
224,224,191,204,16700,"2020-09-29","UANG"
204,204,198,198,21800,"2020-09-30","UANG"
208,218,190,208,23600,"2020-10-01","UANG"
220,220,196,210,2500,"2020-10-02","UANG"
204,210,200,210,21800,"2020-10-05","UANG"
214,214,202,212,26000,"2020-10-06","UANG"
210,214,204,210,37000,"2020-10-07","UANG"
230,230,208,214,35400,"2020-10-08","UANG"
206,214,204,210,28800,"2020-10-09","UANG"
214,214,198,200,9400,"2020-10-12","UANG"
220,220,199,204,23400,"2020-10-13","UANG"
224,224,197,202,35600,"2020-10-14","UANG"
210,210,200,200,11500,"2020-10-15","UANG"
210,210,197,198,110000,"2020-10-16","UANG"
208,208,197,198,43500,"2020-10-19","UANG"
206,206,185,202,93100,"2020-10-20","UANG"
218,218,191,202,44700,"2020-10-21","UANG"
202,202,198,202,31500,"2020-10-22","UANG"
200,206,198,198,11900,"2020-10-23","UANG"
192,202,192,202,13500,"2020-10-26","UANG"
192,202,191,200,22100,"2020-10-27","UANG"
220,220,195,208,160100,"2020-11-02","UANG"
210,210,196,210,23900,"2020-11-03","UANG"
230,230,200,202,47800,"2020-11-04","UANG"
