"Open","High","Low","Close","Volume","Date","Emiten"
108.75,108.75,108.75,108.75,0,"2007-01-02","ULTJ"
108.75,108.75,108.75,108.75,0,"2007-01-03","ULTJ"
108.75,108.75,108.75,108.75,0,"2007-01-04","ULTJ"
108.75,108.75,108.75,108.75,0,"2007-01-05","ULTJ"
108.75,108.75,108.75,108.75,0,"2007-01-08","ULTJ"
108.75,108.75,108.75,108.75,0,"2007-01-09","ULTJ"
108.75,180,180,108.75,0,"2007-01-10","ULTJ"
108.75,108.75,108.75,108.75,0,"2007-01-11","ULTJ"
108.75,108.75,108.75,108.75,0,"2007-01-12","ULTJ"
108.75,108.75,108.75,108.75,0,"2007-01-15","ULTJ"
108.75,108.75,108.75,108.75,0,"2007-01-16","ULTJ"
108.75,108.75,108.75,108.75,0,"2007-01-17","ULTJ"
106.25,106.25,93.75,106.25,62000,"2007-01-18","ULTJ"
106.25,106.25,106.25,106.25,0,"2007-01-19","ULTJ"
106.25,106.25,106.25,106.25,0,"2007-01-22","ULTJ"
106.25,106.25,106.25,106.25,0,"2007-01-23","ULTJ"
106.25,106.25,106.25,106.25,0,"2007-01-24","ULTJ"
106.25,106.25,106.25,106.25,0,"2007-01-25","ULTJ"
106.25,106.25,106.25,106.25,0,"2007-01-26","ULTJ"
106.25,106.25,106.25,106.25,0,"2007-01-29","ULTJ"
106.25,106.25,106.25,106.25,0,"2007-01-30","ULTJ"
106.25,106.25,106.25,106.25,0,"2007-01-31","ULTJ"
106.25,106.25,106.25,106.25,0,"2007-02-01","ULTJ"
106.25,106.25,106.25,106.25,0,"2007-02-02","ULTJ"
106.25,106.25,106.25,106.25,0,"2007-02-05","ULTJ"
106.25,106.25,106.25,106.25,0,"2007-02-06","ULTJ"
106.25,106.25,106.25,106.25,0,"2007-02-07","ULTJ"
106.25,106.25,106.25,106.25,0,"2007-02-08","ULTJ"
106.25,106.25,106.25,106.25,4000,"2007-02-09","ULTJ"
106.25,106.25,106.25,106.25,0,"2007-02-12","ULTJ"
106.25,106.25,106.25,106.25,0,"2007-02-13","ULTJ"
106.25,106.25,106.25,106.25,0,"2007-02-14","ULTJ"
106.25,106.25,106.25,106.25,0,"2007-02-15","ULTJ"
106.25,106.25,106.25,106.25,0,"2007-02-16","ULTJ"
106.25,106.25,106.25,106.25,0,"2007-02-19","ULTJ"
106.25,106.25,106.25,106.25,0,"2007-02-20","ULTJ"
106.25,106.25,106.25,106.25,0,"2007-02-21","ULTJ"
106.25,106.25,106.25,106.25,0,"2007-02-22","ULTJ"
106.25,106.25,106.25,106.25,0,"2007-02-23","ULTJ"
106.25,106.25,106.25,106.25,0,"2007-02-26","ULTJ"
106.25,106.25,106.25,106.25,0,"2007-02-27","ULTJ"
106.25,106.25,106.25,106.25,0,"2007-02-28","ULTJ"
106.25,106.25,106.25,106.25,0,"2007-03-01","ULTJ"
106.25,106.25,106.25,106.25,0,"2007-03-02","ULTJ"
106.25,106.25,106.25,106.25,0,"2007-03-05","ULTJ"
106.25,106.25,106.25,106.25,0,"2007-03-06","ULTJ"
106.25,106.25,106.25,106.25,0,"2007-03-07","ULTJ"
91.25,91.25,91.25,91.25,2000,"2007-03-08","ULTJ"
91.25,91.25,91.25,91.25,0,"2007-03-09","ULTJ"
91.25,91.25,91.25,91.25,0,"2007-03-12","ULTJ"
93.75,93.75,93.75,93.75,4000,"2007-03-13","ULTJ"
93.75,93.75,93.75,93.75,1e+05,"2007-03-14","ULTJ"
93.75,93.75,93.75,93.75,0,"2007-03-15","ULTJ"
93.75,93.75,93.75,93.75,0,"2007-03-16","ULTJ"
93.75,93.75,93.75,93.75,0,"2007-03-20","ULTJ"
93.75,93.75,93.75,93.75,0,"2007-03-21","ULTJ"
93.75,93.75,93.75,93.75,0,"2007-03-22","ULTJ"
93.75,93.75,93.75,93.75,0,"2007-03-23","ULTJ"
93.75,93.75,93.75,93.75,0,"2007-03-26","ULTJ"
93.75,93.75,93.75,93.75,0,"2007-03-27","ULTJ"
93.75,93.75,93.75,93.75,0,"2007-03-28","ULTJ"
93.75,93.75,93.75,93.75,12000,"2007-03-29","ULTJ"
106.25,106.25,100,106.25,530000,"2007-03-30","ULTJ"
97.5,98.75,97.5,97.5,54000,"2007-04-02","ULTJ"
102.5,105,95,102.5,1630000,"2007-04-03","ULTJ"
102.5,102.5,102.5,102.5,0,"2007-04-04","ULTJ"
93.75,93.75,93.75,93.75,76000,"2007-04-05","ULTJ"
97.5,100,97.5,97.5,60000,"2007-04-09","ULTJ"
100,100,100,100,8000,"2007-04-10","ULTJ"
100,100,100,100,50000,"2007-04-11","ULTJ"
100,100,100,100,0,"2007-04-12","ULTJ"
100,100,100,100,0,"2007-04-13","ULTJ"
100,100,100,100,0,"2007-04-16","ULTJ"
100,100,100,100,0,"2007-04-17","ULTJ"
100,100,100,100,0,"2007-04-18","ULTJ"
100,100,100,100,0,"2007-04-19","ULTJ"
100,100,100,100,0,"2007-04-20","ULTJ"
100,100,100,100,0,"2007-04-23","ULTJ"
100,100,100,100,0,"2007-04-24","ULTJ"
100,100,100,100,0,"2007-04-25","ULTJ"
100,100,100,100,0,"2007-04-26","ULTJ"
93.75,97.5,93.75,93.75,92000,"2007-04-27","ULTJ"
93.75,93.75,93.75,93.75,0,"2007-04-30","ULTJ"
93.75,93.75,93.75,93.75,40000,"2007-05-01","ULTJ"
95,95,95,95,88000,"2007-05-02","ULTJ"
93.75,93.75,93.75,93.75,1e+05,"2007-05-03","ULTJ"
93.75,93.75,93.75,93.75,26000,"2007-05-04","ULTJ"
93.75,93.75,93.75,93.75,0,"2007-05-07","ULTJ"
93.75,93.75,93.75,93.75,0,"2007-05-08","ULTJ"
93.75,93.75,93.75,93.75,0,"2007-05-09","ULTJ"
87.5,87.5,87.5,87.5,4000,"2007-05-10","ULTJ"
87.5,87.5,87.5,87.5,0,"2007-05-11","ULTJ"
112.5,112.5,102.5,112.5,976000,"2007-05-14","ULTJ"
127.5,131.25,112.5,127.5,8282000,"2007-05-15","ULTJ"
137.5,160,130,137.5,19486000,"2007-05-16","ULTJ"
117.5,120,112.5,117.5,810000,"2007-05-21","ULTJ"
117.5,117.5,115,117.5,32000,"2007-05-22","ULTJ"
117.5,123.75,115,117.5,180000,"2007-05-23","ULTJ"
112.5,115,112.5,112.5,40000,"2007-05-24","ULTJ"
107.5,113.75,107.5,107.5,80000,"2007-05-25","ULTJ"
113.75,118.75,112.5,113.75,560000,"2007-05-28","ULTJ"
112.5,112.5,112.5,112.5,40000,"2007-05-29","ULTJ"
112.5,117.5,111.25,112.5,244000,"2007-05-30","ULTJ"
112.5,112.5,112.5,112.5,0,"2007-05-31","ULTJ"
132.5,132.5,126.25,132.5,338000,"2007-06-04","ULTJ"
142.5,155,135,142.5,8600000,"2007-06-05","ULTJ"
145,147.5,142.5,145,548000,"2007-06-06","ULTJ"
135,142.5,112.5,135,428000,"2007-06-07","ULTJ"
135,135,135,135,0,"2007-06-08","ULTJ"
127.5,135,127.5,127.5,48000,"2007-06-11","ULTJ"
127.5,127.5,127.5,127.5,10000,"2007-06-12","ULTJ"
142.5,142.5,130,142.5,74000,"2007-06-13","ULTJ"
140,140,127.5,140,6000,"2007-06-14","ULTJ"
135,135,135,135,40000,"2007-06-15","ULTJ"
135,135,135,135,0,"2007-06-18","ULTJ"
142.5,145,135,142.5,454000,"2007-06-19","ULTJ"
140,142.5,137.5,140,570000,"2007-06-20","ULTJ"
137.5,137.5,137.5,137.5,50000,"2007-06-21","ULTJ"
137.5,137.5,137.5,137.5,128000,"2007-06-22","ULTJ"
140,140,137.5,140,148000,"2007-06-25","ULTJ"
137.5,137.5,132.5,137.5,4e+05,"2007-06-26","ULTJ"
137.5,140,137.5,137.5,6000,"2007-06-27","ULTJ"
145,145,135,145,368000,"2007-06-28","ULTJ"
145,147.5,142.5,142.5,394000,"2007-06-29","ULTJ"
147.5,157.5,145,147.5,2938000,"2007-07-02","ULTJ"
145,155,140,145,2690000,"2007-07-03","ULTJ"
140,145,140,140,104000,"2007-07-04","ULTJ"
145,145,142.5,145,308000,"2007-07-05","ULTJ"
145,145,145,145,0,"2007-07-06","ULTJ"
150,152.5,145,150,936000,"2007-07-09","ULTJ"
145,150,142.5,145,358000,"2007-07-10","ULTJ"
142.5,142.5,142.5,142.5,40000,"2007-07-11","ULTJ"
170,180,145,170,32562000,"2007-07-12","ULTJ"
157.5,182.5,157.5,157.5,35328000,"2007-07-13","ULTJ"
157.5,165,157.5,157.5,998000,"2007-07-16","ULTJ"
157.5,162.5,157.5,157.5,270000,"2007-07-17","ULTJ"
150,157.5,150,150,220000,"2007-07-18","ULTJ"
152.5,157.5,150,152.5,404000,"2007-07-19","ULTJ"
150,157.5,150,150,538000,"2007-07-20","ULTJ"
150,150,150,150,0,"2007-07-23","ULTJ"
150,150,150,150,0,"2007-07-24","ULTJ"
150,150,150,150,0,"2007-07-25","ULTJ"
150,150,150,150,0,"2007-07-26","ULTJ"
150,150,150,150,0,"2007-07-27","ULTJ"
150,150,150,150,0,"2007-07-30","ULTJ"
150,150,150,150,0,"2007-07-31","ULTJ"
135,135,135,135,40000,"2007-08-01","ULTJ"
135,135,135,135,0,"2007-08-02","ULTJ"
127.5,127.5,127.5,127.5,220000,"2007-08-03","ULTJ"
145,145,145,145,310000,"2007-08-06","ULTJ"
115,115,115,115,60000,"2007-08-07","ULTJ"
122.5,122.5,122.5,122.5,2000,"2007-08-08","ULTJ"
130,130,127.5,130,256000,"2007-08-09","ULTJ"
130,130,130,130,0,"2007-08-10","ULTJ"
137.5,137.5,127.5,137.5,292000,"2007-08-13","ULTJ"
135,140,132.5,135,448000,"2007-08-14","ULTJ"
120,127.5,120,120,386000,"2007-08-15","ULTJ"
100,102.5,100,100,106000,"2007-08-16","ULTJ"
125,125,103.75,125,6000,"2007-08-20","ULTJ"
125,130,125,125,120000,"2007-08-21","ULTJ"
125,125,125,125,0,"2007-08-22","ULTJ"
125,125,125,125,0,"2007-08-23","ULTJ"
130,130,117.5,130,272000,"2007-08-24","ULTJ"
127.5,130,127.5,127.5,238000,"2007-08-27","ULTJ"
122.5,125,122.5,122.5,70000,"2007-08-28","ULTJ"
123.75,125,115,123.75,112000,"2007-08-29","ULTJ"
121.25,121.25,121.25,121.25,4000,"2007-08-30","ULTJ"
121.25,121.25,121.25,121.25,40000,"2007-08-31","ULTJ"
125,127.5,125,125,74000,"2007-09-03","ULTJ"
125,125,125,125,0,"2007-09-04","ULTJ"
117.5,117.5,117.5,117.5,10000,"2007-09-05","ULTJ"
