"Open","High","Low","Close","Volume","Date","Emiten"
159,159,159,159,250613700,"2021-03-08","UNIQ"
168,214,161,195,1246307400,"2021-03-09","UNIQ"
200,206,182,182,60713000,"2021-03-10","UNIQ"
170,170,170,170,4914500,"2021-03-12","UNIQ"
159,159,159,159,5622100,"2021-03-15","UNIQ"
148,148,148,148,3916700,"2021-03-16","UNIQ"
138,138,138,138,2617600,"2021-03-17","UNIQ"
129,145,129,129,540693600,"2021-03-18","UNIQ"
120,126,120,120,52376800,"2021-03-19","UNIQ"
112,117,112,112,24672600,"2021-03-22","UNIQ"
105,123,105,113,426455500,"2021-03-23","UNIQ"
113,119,108,108,114403000,"2021-03-24","UNIQ"
109,114,106,113,54175800,"2021-03-25","UNIQ"
113,114,106,112,78202600,"2021-03-26","UNIQ"
109,112,107,110,33558900,"2021-03-29","UNIQ"
108,111,106,108,30467000,"2021-03-30","UNIQ"
106,108,101,102,25442900,"2021-03-31","UNIQ"
103,113,99,107,65423500,"2021-04-01","UNIQ"
107,111,103,111,31596600,"2021-04-05","UNIQ"
110,114,107,114,55431600,"2021-04-06","UNIQ"
114,124,112,124,95178300,"2021-04-07","UNIQ"
126,126,122,123,39255700,"2021-04-08","UNIQ"
123,124,117,117,22241400,"2021-04-09","UNIQ"
116,118,112,112,15391500,"2021-04-12","UNIQ"
112,114,109,109,10046300,"2021-04-13","UNIQ"
111,112,107,111,14136000,"2021-04-14","UNIQ"
112,126,110,126,80648000,"2021-04-15","UNIQ"
126,127,119,119,28610100,"2021-04-16","UNIQ"
119,121,114,114,10880000,"2021-04-19","UNIQ"
114,119,111,115,19418100,"2021-04-20","UNIQ"
116,118,114,114,10891700,"2021-04-21","UNIQ"
114,116,113,113,9027100,"2021-04-22","UNIQ"
116,116,111,111,9219700,"2021-04-23","UNIQ"
111,112,110,110,8953500,"2021-04-26","UNIQ"
110,111,107,108,9301500,"2021-04-27","UNIQ"
108,108,107,107,5059900,"2021-04-28","UNIQ"
107,111,107,109,6608900,"2021-04-29","UNIQ"
109,110,107,110,5914800,"2021-04-30","UNIQ"
112,112,108,109,6399700,"2021-05-03","UNIQ"
109,109,108,108,4434900,"2021-05-04","UNIQ"
109,110,107,108,2637100,"2021-05-05","UNIQ"
108,109,107,107,6496600,"2021-05-06","UNIQ"
108,110,106,106,10491100,"2021-05-07","UNIQ"
106,108,106,106,4403500,"2021-05-10","UNIQ"
107,107,104,104,9219100,"2021-05-11","UNIQ"
104,105,101,102,7816800,"2021-05-17","UNIQ"
102,111,100,108,16360200,"2021-05-18","UNIQ"
108,108,104,104,5452500,"2021-05-19","UNIQ"
104,105,102,103,4733500,"2021-05-20","UNIQ"
104,105,102,102,5946200,"2021-05-21","UNIQ"
103,103,101,101,4983600,"2021-05-24","UNIQ"
101,104,100,103,6205700,"2021-05-25","UNIQ"
103,103,101,102,5616600,"2021-05-27","UNIQ"
102,103,100,102,5203600,"2021-05-28","UNIQ"
102,102,100,100,4533700,"2021-05-31","UNIQ"
101,103,100,101,9281000,"2021-06-02","UNIQ"
101,103,100,102,6583600,"2021-06-03","UNIQ"
102,102,100,101,4571700,"2021-06-04","UNIQ"
102,102,99,100,14894100,"2021-06-07","UNIQ"
101,101,99,100,9464800,"2021-06-08","UNIQ"
101,101,99,100,7489900,"2021-06-09","UNIQ"
100,101,99,99,8097100,"2021-06-10","UNIQ"
100,100,97,97,13321600,"2021-06-11","UNIQ"
97,100,97,98,7261400,"2021-06-14","UNIQ"
98,98,95,96,5391400,"2021-06-15","UNIQ"
98,98,95,95,5353700,"2021-06-16","UNIQ"
95,99,92,95,12971100,"2021-06-17","UNIQ"
95,95,89,90,14264700,"2021-06-18","UNIQ"
90,92,86,92,10028000,"2021-06-21","UNIQ"
92,94,90,90,3600500,"2021-06-22","UNIQ"
93,93,88,88,5624600,"2021-06-23","UNIQ"
88,90,84,85,9156800,"2021-06-24","UNIQ"
85,88,83,85,3484200,"2021-06-25","UNIQ"
85,86,81,83,6578600,"2021-06-28","UNIQ"
83,112,78,112,112662700,"2021-06-29","UNIQ"
118,133,105,112,242010700,"2021-06-30","UNIQ"
114,114,105,106,14328000,"2021-07-01","UNIQ"
107,108,99,101,10980500,"2021-07-02","UNIQ"
102,102,95,95,7169600,"2021-07-05","UNIQ"
95,108,91,100,18084000,"2021-07-06","UNIQ"
102,102,96,99,3984600,"2021-07-07","UNIQ"
99,100,97,98,2391300,"2021-07-08","UNIQ"
98,104,98,100,4988400,"2021-07-09","UNIQ"
99,100,96,99,3193400,"2021-07-12","UNIQ"
99,104,98,100,5746700,"2021-07-13","UNIQ"
97,101,97,100,2176100,"2021-07-14","UNIQ"
99,100,93,97,3985200,"2021-07-15","UNIQ"
97,100,96,96,2137000,"2021-07-16","UNIQ"
96,98,95,95,1057300,"2021-07-19","UNIQ"
96,97,94,95,3001600,"2021-07-21","UNIQ"
95,97,94,95,2583100,"2021-07-22","UNIQ"
96,115,95,96,16589300,"2021-07-23","UNIQ"
98,99,95,96,2387000,"2021-07-26","UNIQ"
96,99,94,97,3408500,"2021-07-27","UNIQ"
97,99,95,97,2519200,"2021-07-28","UNIQ"
97,98,94,97,2224800,"2021-07-29","UNIQ"
98,98,95,96,1370900,"2021-07-30","UNIQ"
96,97,94,95,2744200,"2021-08-02","UNIQ"
95,98,95,95,2095600,"2021-08-03","UNIQ"
95,97,89,93,9086400,"2021-08-04","UNIQ"
93,95,90,92,2189300,"2021-08-05","UNIQ"
92,92,89,91,1930700,"2021-08-06","UNIQ"
91,93,89,89,2169100,"2021-08-09","UNIQ"
89,90,87,88,2090500,"2021-08-10","UNIQ"
88,96,86,93,8159800,"2021-08-12","UNIQ"
94,94,87,89,3687600,"2021-08-13","UNIQ"
89,91,87,89,1768200,"2021-08-16","UNIQ"
89,89,86,86,1334600,"2021-08-18","UNIQ"
86,90,84,90,4577700,"2021-08-19","UNIQ"
91,92,87,88,4311400,"2021-08-20","UNIQ"
87,90,86,88,2127000,"2021-08-23","UNIQ"
87,90,87,88,1821600,"2021-08-24","UNIQ"
88,101,87,91,72314400,"2021-08-25","UNIQ"
98,98,85,87,23458500,"2021-08-26","UNIQ"
91,91,86,87,6838100,"2021-08-27","UNIQ"
92,92,87,87,3594100,"2021-08-30","UNIQ"
87,90,86,88,2996900,"2021-08-31","UNIQ"
88,89,87,87,1409500,"2021-09-01","UNIQ"
89,96,87,90,52335500,"2021-09-02","UNIQ"
92,93,88,90,14335100,"2021-09-03","UNIQ"
95,95,88,89,4755000,"2021-09-06","UNIQ"
90,91,88,89,5673000,"2021-09-07","UNIQ"
92,92,88,88,2419000,"2021-09-08","UNIQ"
90,94,88,88,29502600,"2021-09-09","UNIQ"
88,90,88,89,4384200,"2021-09-10","UNIQ"
90,90,87,89,5384500,"2021-09-13","UNIQ"
90,90,87,88,4456300,"2021-09-14","UNIQ"
89,89,86,88,6051900,"2021-09-15","UNIQ"
87,88,86,87,5299100,"2021-09-16","UNIQ"
86,88,86,87,3728800,"2021-09-17","UNIQ"
87,88,86,87,2289600,"2021-09-20","UNIQ"
86,87,85,87,2389600,"2021-09-21","UNIQ"
87,88,86,87,2065100,"2021-09-22","UNIQ"
87,96,86,91,76988800,"2021-09-23","UNIQ"
92,93,87,89,15829500,"2021-09-24","UNIQ"
89,89,86,87,9578000,"2021-09-27","UNIQ"
87,92,86,89,14633800,"2021-09-28","UNIQ"
89,92,86,90,9487000,"2021-09-29","UNIQ"
90,92,87,87,5552500,"2021-09-30","UNIQ"
87,90,86,88,7407000,"2021-10-01","UNIQ"
88,89,86,88,6084400,"2021-10-04","UNIQ"
88,91,86,89,9083500,"2021-10-05","UNIQ"
89,92,88,88,9297500,"2021-10-06","UNIQ"
88,90,87,88,4275700,"2021-10-07","UNIQ"
89,102,88,96,98431700,"2021-10-08","UNIQ"
100,105,92,94,23068500,"2021-10-11","UNIQ"
95,96,91,94,7264200,"2021-10-12","UNIQ"
93,94,92,93,2515700,"2021-10-13","UNIQ"
93,98,92,93,15647100,"2021-10-14","UNIQ"
93,94,92,93,2588300,"2021-10-15","UNIQ"
95,95,91,92,1979500,"2021-10-18","UNIQ"
92,93,91,92,2828400,"2021-10-19","UNIQ"
92,95,92,93,6343600,"2021-10-21","UNIQ"
93,94,92,93,2956900,"2021-10-22","UNIQ"
93,94,90,91,7611000,"2021-10-25","UNIQ"
91,94,91,93,5062700,"2021-10-26","UNIQ"
93,94,91,93,4316100,"2021-10-27","UNIQ"
94,94,91,92,865700,"2021-10-28","UNIQ"
94,96,91,93,6856500,"2021-10-29","UNIQ"
94,94,92,92,1509500,"2021-11-01","UNIQ"
96,96,91,91,1004700,"2021-11-02","UNIQ"
94,94,91,92,1462200,"2021-11-03","UNIQ"
94,94,92,93,1475600,"2021-11-04","UNIQ"
95,95,92,93,7163000,"2021-11-05","UNIQ"
94,94,91,92,8022800,"2021-11-08","UNIQ"
93,94,91,92,6992000,"2021-11-09","UNIQ"
92,93,91,92,2405200,"2021-11-10","UNIQ"
93,93,90,92,2156200,"2021-11-11","UNIQ"
92,92,90,91,2361500,"2021-11-12","UNIQ"
94,94,90,91,904600,"2021-11-15","UNIQ"
92,92,90,91,745500,"2021-11-16","UNIQ"
92,92,89,90,1102200,"2021-11-17","UNIQ"
91,91,89,91,1603300,"2021-11-18","UNIQ"
92,93,90,91,4968900,"2021-11-19","UNIQ"
93,93,90,90,1001700,"2021-11-22","UNIQ"
93,93,89,90,1060400,"2021-11-23","UNIQ"
90,91,88,88,2445000,"2021-11-24","UNIQ"
89,90,88,90,1105700,"2021-11-25","UNIQ"
90,90,88,88,717200,"2021-11-26","UNIQ"
89,89,88,89,1551100,"2021-11-29","UNIQ"
89,89,87,87,1416700,"2021-11-30","UNIQ"
87,88,87,87,611000,"2021-12-01","UNIQ"
87,88,85,88,292600,"2021-12-02","UNIQ"
89,89,86,88,198600,"2021-12-03","UNIQ"
89,89,86,88,394200,"2021-12-06","UNIQ"
90,90,86,88,930200,"2021-12-07","UNIQ"
88,88,87,87,212800,"2021-12-08","UNIQ"
86,88,86,88,1981500,"2021-12-09","UNIQ"
91,91,87,87,1135900,"2021-12-10","UNIQ"
91,91,86,87,433200,"2021-12-13","UNIQ"
88,88,86,86,1020100,"2021-12-14","UNIQ"
88,88,86,87,3453900,"2021-12-15","UNIQ"
87,87,85,85,1305000,"2021-12-16","UNIQ"
85,93,85,90,8331600,"2021-12-17","UNIQ"
90,90,87,88,2730200,"2021-12-20","UNIQ"
92,92,87,89,1150800,"2021-12-21","UNIQ"
90,90,86,88,3331500,"2021-12-22","UNIQ"
90,91,86,90,5045700,"2021-12-23","UNIQ"
93,93,87,89,1500500,"2021-12-24","UNIQ"
91,91,88,89,2276800,"2021-12-27","UNIQ"
91,91,88,89,464800,"2021-12-28","UNIQ"
91,91,87,89,900400,"2021-12-29","UNIQ"
90,91,87,88,699700,"2021-12-30","UNIQ"
88,90,87,89,391300,"2022-01-03","UNIQ"
90,90,88,90,1022000,"2022-01-04","UNIQ"
90,90,88,89,422600,"2022-01-05","UNIQ"
90,90,88,88,546900,"2022-01-06","UNIQ"
90,92,88,89,6142800,"2022-01-07","UNIQ"
92,92,87,89,1291800,"2022-01-10","UNIQ"
92,92,87,89,951400,"2022-01-11","UNIQ"
92,92,86,88,1227000,"2022-01-12","UNIQ"
91,91,86,88,1833500,"2022-01-13","UNIQ"
90,90,86,87,6480500,"2022-01-14","UNIQ"
87,89,86,88,1527700,"2022-01-17","UNIQ"
88,90,86,86,5682200,"2022-01-18","UNIQ"
87,87,86,86,1496700,"2022-01-19","UNIQ"
87,88,86,87,1319900,"2022-01-20","UNIQ"
