"Open","High","Low","Close","Volume","Adjusted","Date","Emiten"
1330,1380,1330,1330,20,908.624878,"2007-01-02","UNVR"
1300,1330,1290,1300,20,888.129761,"2007-01-03","UNVR"
1270,1310,1270,1270,20,867.634583,"2007-01-04","UNVR"
1290,1290,1270,1290,20,881.298157,"2007-01-05","UNVR"
1270,1290,1270,1270,20,867.634583,"2007-01-08","UNVR"
1220,1270,1210,1220,20,833.475586,"2007-01-09","UNVR"
1140,1140,1140,1140,10,778.82135,"2007-01-10","UNVR"
1160,1170,1140,1160,6962500,792.484863,"2007-01-11","UNVR"
1170,1240,1150,1240,17815000,847.139038,"2007-01-12","UNVR"
1230,1240,1220,1230,20,840.307434,"2007-01-15","UNVR"
1260,1260,1230,1260,20,860.802856,"2007-01-16","UNVR"
1240,1250,1230,1240,20,847.139038,"2007-01-17","UNVR"
1240,1240,1220,1240,6132500,847.139038,"2007-01-18","UNVR"
1270,1270,1230,1270,20,867.634583,"2007-01-19","UNVR"
1250,1270,1240,1250,20,853.970886,"2007-01-22","UNVR"
1220,1240,1220,1220,20,833.475586,"2007-01-23","UNVR"
1210,1230,1210,1210,20,826.643921,"2007-01-24","UNVR"
1190,1220,1180,1190,20,812.980347,"2007-01-25","UNVR"
1170,1190,1150,1170,20,799.316895,"2007-01-26","UNVR"
1170,1170,1150,1170,20,799.316895,"2007-01-29","UNVR"
1160,1180,1160,1160,20,792.484863,"2007-01-30","UNVR"
1170,1170,1130,1170,20,799.316895,"2007-01-31","UNVR"
1180,1200,1170,1170,15,799.316895,"2007-02-01","UNVR"
1230,1230,1230,1230,20,840.307434,"2007-02-02","UNVR"
1220,1240,1210,1220,9905000,833.475586,"2007-02-05","UNVR"
1190,1220,1190,1190,20,812.980347,"2007-02-06","UNVR"
1190,1200,1190,1190,2082500,812.980347,"2007-02-07","UNVR"
1180,1180,1170,1180,1440000,806.148438,"2007-02-08","UNVR"
1180,1180,1180,1180,0,806.148438,"2007-02-09","UNVR"
1180,1180,1170,1180,20,806.148438,"2007-02-12","UNVR"
1160,1170,1150,1160,20,792.484863,"2007-02-13","UNVR"
1140,1170,1140,1140,20,778.82135,"2007-02-14","UNVR"
1180,1190,1160,1180,20,806.148438,"2007-02-15","UNVR"
1160,1190,1160,1160,20,792.484863,"2007-02-16","UNVR"
1160,1160,1160,1160,795000,792.484863,"2007-02-19","UNVR"
1150,1160,1150,1150,3987500,785.653198,"2007-02-20","UNVR"
1180,1180,1150,1180,20,806.148438,"2007-02-21","UNVR"
1160,1180,1160,1160,20,792.484863,"2007-02-22","UNVR"
1150,1160,1140,1150,20,785.653198,"2007-02-23","UNVR"
