"Open","High","Low","Close","Volume","Date","Emiten"
770,885,695,760,700977000,"2014-04-08","WTON"
760,760,760,760,0,"2014-04-09","WTON"
780,780,665,720,241655500,"2014-04-10","WTON"
700,755,700,750,126302800,"2014-04-11","WTON"
760,780,745,765,67189600,"2014-04-14","WTON"
780,780,745,750,50083500,"2014-04-15","WTON"
750,765,730,735,41805100,"2014-04-16","WTON"
740,755,735,745,26192800,"2014-04-17","WTON"
750,750,730,730,22422800,"2014-04-21","WTON"
730,740,720,730,29738900,"2014-04-22","WTON"
730,735,720,720,42023600,"2014-04-23","WTON"
720,740,720,735,29629400,"2014-04-24","WTON"
735,770,735,765,69270700,"2014-04-25","WTON"
765,775,730,735,29012900,"2014-04-28","WTON"
740,750,730,740,20836700,"2014-04-29","WTON"
745,745,730,735,13111700,"2014-04-30","WTON"
735,740,730,730,7086600,"2014-05-02","WTON"
730,745,725,740,27141600,"2014-05-05","WTON"
740,745,725,730,12329000,"2014-05-06","WTON"
730,750,730,750,27762600,"2014-05-07","WTON"
755,760,745,745,20690000,"2014-05-08","WTON"
750,760,745,750,17901200,"2014-05-09","WTON"
750,770,750,760,37915700,"2014-05-12","WTON"
765,770,755,765,11310100,"2014-05-13","WTON"
765,800,765,795,66170800,"2014-05-14","WTON"
795,810,785,785,39555700,"2014-05-16","WTON"
775,805,765,775,58139600,"2014-05-19","WTON"
755,785,745,755,19367500,"2014-05-20","WTON"
780,780,750,780,16999800,"2014-05-21","WTON"
780,785,775,780,17457200,"2014-05-22","WTON"
775,785,770,775,13269400,"2014-05-23","WTON"
770,775,765,770,12640300,"2014-05-26","WTON"
790,790,765,790,12150400,"2014-05-28","WTON"
780,795,770,780,10467900,"2014-05-30","WTON"
765,780,760,765,15487100,"2014-06-02","WTON"
765,780,765,765,13817300,"2014-06-03","WTON"
760,775,760,760,17587400,"2014-06-04","WTON"
765,765,760,760,2442500,"2014-06-05","WTON"
760,770,760,760,10032600,"2014-06-06","WTON"
755,770,750,755,26963000,"2014-06-09","WTON"
765,770,755,765,5037600,"2014-06-10","WTON"
765,775,760,765,18252300,"2014-06-11","WTON"
765,770,760,765,2388600,"2014-06-12","WTON"
750,765,745,750,10786300,"2014-06-13","WTON"
740,750,735,740,6214900,"2014-06-16","WTON"
760,765,735,760,20769900,"2014-06-17","WTON"
750,760,750,750,3243000,"2014-06-18","WTON"
735,755,725,735,17965000,"2014-06-19","WTON"
730,745,730,730,8511000,"2014-06-20","WTON"
730,740,730,730,5993100,"2014-06-23","WTON"
740,745,725,740,28380400,"2014-06-24","WTON"
725,740,725,725,9852800,"2014-06-25","WTON"
750,750,725,750,11814000,"2014-06-26","WTON"
750,750,735,750,6394000,"2014-06-27","WTON"
750,750,740,750,3553000,"2014-06-30","WTON"
740,750,740,740,1135300,"2014-07-01","WTON"
740,750,735,740,2082300,"2014-07-02","WTON"
750,760,740,750,8566700,"2014-07-03","WTON"
760,760,745,760,8967100,"2014-07-04","WTON"
800,805,760,800,53051100,"2014-07-07","WTON"
800,810,775,800,43688800,"2014-07-08","WTON"
800,800,800,800,0,"2014-07-09","WTON"
830,830,795,830,98300100,"2014-07-10","WTON"
805,825,800,805,14544500,"2014-07-11","WTON"
800,810,795,800,4828700,"2014-07-14","WTON"
815,820,800,815,12483600,"2014-07-15","WTON"
820,840,810,820,22473600,"2014-07-16","WTON"
820,825,810,820,14890800,"2014-07-17","WTON"
820,825,800,820,15001800,"2014-07-18","WTON"
880,885,830,880,65457900,"2014-07-21","WTON"
865,890,840,865,45890700,"2014-07-22","WTON"
895,910,880,895,82813900,"2014-07-23","WTON"
890,905,885,890,30237400,"2014-07-24","WTON"
890,900,870,890,12994600,"2014-07-25","WTON"
880,895,870,880,8869900,"2014-08-04","WTON"
895,895,875,895,22268600,"2014-08-05","WTON"
880,895,880,880,5558400,"2014-08-06","WTON"
885,890,880,885,6172900,"2014-08-07","WTON"
890,895,880,890,7233500,"2014-08-08","WTON"
935,935,890,935,22989200,"2014-08-11","WTON"
950,975,935,950,49827600,"2014-08-12","WTON"
950,960,945,950,12460000,"2014-08-13","WTON"
945,955,940,945,7769400,"2014-08-14","WTON"
955,965,900,955,13201600,"2014-08-15","WTON"
995,1005,960,995,33821900,"2014-08-18","WTON"
1010,1020,1000,1010,29359800,"2014-08-19","WTON"
1005,1020,1000,1005,11136200,"2014-08-20","WTON"
1030,1045,990,1030,39190400,"2014-08-21","WTON"
1030,1050,1025,1030,21105900,"2014-08-22","WTON"
1055,1055,1015,1055,10627200,"2014-08-25","WTON"
1020,1055,1015,1020,31843700,"2014-08-26","WTON"
1020,1030,1015,1020,10346200,"2014-08-27","WTON"
1005,1035,1005,1005,9501600,"2014-08-28","WTON"
1030,1030,1005,1030,9532100,"2014-08-29","WTON"
1025,1035,1020,1025,3456300,"2014-09-01","WTON"
1030,1035,1020,1030,3573500,"2014-09-02","WTON"
1075,1080,1010,1075,25818000,"2014-09-03","WTON"
1075,1095,1070,1075,23214200,"2014-09-04","WTON"
1155,1165,1075,1155,66217400,"2014-09-05","WTON"
1170,1240,1115,1170,86463000,"2014-09-08","WTON"
1170,1175,1155,1170,22830300,"2014-09-09","WTON"
1165,1180,1145,1165,59920100,"2014-09-10","WTON"
1175,1210,1165,1175,61882600,"2014-09-11","WTON"
1165,1190,1165,1165,16003500,"2014-09-12","WTON"
1175,1175,1120,1175,9535700,"2014-09-15","WTON"
1150,1180,1150,1150,11651400,"2014-09-16","WTON"
1155,1200,1150,1155,22685500,"2014-09-17","WTON"
1175,1190,1155,1175,16698700,"2014-09-18","WTON"
1200,1210,1175,1200,47476000,"2014-09-19","WTON"
1205,1230,1195,1205,15079900,"2014-09-22","WTON"
1185,1205,1180,1185,16654200,"2014-09-23","WTON"
1185,1200,1180,1185,5283600,"2014-09-24","WTON"
1185,1200,1180,1185,8878000,"2014-09-25","WTON"
1140,1180,1130,1140,36786700,"2014-09-26","WTON"
1095,1150,1075,1095,37723900,"2014-09-29","WTON"
1090,1120,1075,1090,20484500,"2014-09-30","WTON"
1125,1140,1075,1125,37127600,"2014-10-01","WTON"
1070,1105,1070,1070,54020700,"2014-10-02","WTON"
1010,1085,990,1010,79641400,"2014-10-03","WTON"
1010,1020,975,1010,51387800,"2014-10-06","WTON"
1040,1050,995,1040,78230400,"2014-10-07","WTON"
1010,1055,1000,1010,50258000,"2014-10-08","WTON"
1045,1065,1030,1045,26382200,"2014-10-09","WTON"
1055,1055,1005,1055,24318100,"2014-10-10","WTON"
1050,1080,1040,1050,21353900,"2014-10-13","WTON"
1075,1085,1040,1075,35877800,"2014-10-14","WTON"
1110,1115,1075,1110,36292200,"2014-10-15","WTON"
1155,1175,1090,1155,37812200,"2014-10-16","WTON"
1185,1190,1155,1185,35383800,"2014-10-17","WTON"
1160,1210,1160,1160,29417600,"2014-10-20","WTON"
1180,1180,1140,1180,18934300,"2014-10-21","WTON"
1180,1195,1175,1180,12078200,"2014-10-22","WTON"
1185,1200,1170,1185,17113700,"2014-10-23","WTON"
1170,1185,1160,1170,20702000,"2014-10-24","WTON"
1155,1180,1150,1155,9968900,"2014-10-27","WTON"
1140,1170,1140,1140,5997800,"2014-10-28","WTON"
1170,1170,1145,1170,10223100,"2014-10-29","WTON"
1150,1165,1140,1150,17326000,"2014-10-30","WTON"
1155,1165,1155,1155,9913400,"2014-10-31","WTON"
1155,1165,1145,1155,6947900,"2014-11-03","WTON"
1140,1160,1140,1140,9189400,"2014-11-04","WTON"
1130,1150,1125,1130,9177500,"2014-11-05","WTON"
1120,1145,1115,1120,8233700,"2014-11-06","WTON"
1155,1175,1130,1155,53776000,"2014-11-07","WTON"
1160,1175,1155,1160,18189200,"2014-11-10","WTON"
1180,1190,1160,1180,25497600,"2014-11-11","WTON"
1175,1195,1175,1175,23789600,"2014-11-12","WTON"
1170,1180,1160,1170,9766300,"2014-11-13","WTON"
1170,1195,1160,1170,22244900,"2014-11-14","WTON"
1170,1190,1165,1190,15286900,"2014-11-17","WTON"
1210,1225,1190,1210,57531500,"2014-11-18","WTON"
1215,1235,1205,1215,32369800,"2014-11-19","WTON"
1200,1215,1190,1200,15938300,"2014-11-20","WTON"
1210,1210,1195,1210,9368500,"2014-11-21","WTON"
1245,1265,1220,1245,46163100,"2014-11-24","WTON"
1235,1260,1235,1235,43623500,"2014-11-25","WTON"
