"Open","High","Low","Close","Volume","Date","Emiten"
312,312,312,312,1596900,"2021-03-30","ZYRX"
390,390,390,390,14900,"2021-03-31","ZYRX"
486,486,448,486,226436800,"2021-04-01","ZYRX"
505,560,460,498,167673500,"2021-04-05","ZYRX"
498,575,472,545,109912200,"2021-04-06","ZYRX"
650,680,545,680,58587700,"2021-04-07","ZYRX"
680,830,680,755,100159800,"2021-04-08","ZYRX"
760,820,710,740,49327900,"2021-04-09","ZYRX"
740,755,690,690,15605300,"2021-04-12","ZYRX"
690,720,645,645,32681200,"2021-04-13","ZYRX"
640,680,600,670,34179300,"2021-04-14","ZYRX"
675,760,670,735,37652400,"2021-04-15","ZYRX"
740,745,685,725,20872600,"2021-04-16","ZYRX"
730,730,685,720,18386000,"2021-04-19","ZYRX"
725,780,720,765,48196100,"2021-04-20","ZYRX"
780,860,715,715,70816400,"2021-04-21","ZYRX"
715,720,665,665,20495600,"2021-04-22","ZYRX"
665,665,620,655,8330800,"2021-04-23","ZYRX"
655,690,630,670,19537700,"2021-04-26","ZYRX"
670,705,625,625,50483900,"2021-04-27","ZYRX"
620,630,585,585,32161200,"2021-04-28","ZYRX"
585,585,545,545,9315000,"2021-04-29","ZYRX"
530,550,510,510,17150800,"2021-04-30","ZYRX"
515,540,486,500,22223300,"2021-05-03","ZYRX"
505,515,486,488,7471400,"2021-05-04","ZYRX"
488,494,482,482,3938300,"2021-05-05","ZYRX"
482,515,482,488,6230800,"2021-05-06","ZYRX"
490,555,490,515,34202700,"2021-05-07","ZYRX"
520,525,494,498,5480800,"2021-05-10","ZYRX"
498,510,482,492,27742600,"2021-05-11","ZYRX"
494,494,460,466,5129800,"2021-05-17","ZYRX"
468,505,442,505,12969500,"2021-05-18","ZYRX"
505,515,486,486,3897300,"2021-05-19","ZYRX"
486,500,480,488,4739400,"2021-05-20","ZYRX"
488,496,480,486,16993100,"2021-05-21","ZYRX"
490,510,482,500,18414800,"2021-05-24","ZYRX"
505,510,500,500,4002700,"2021-05-25","ZYRX"
505,505,492,494,22852800,"2021-05-27","ZYRX"
494,555,476,540,37650900,"2021-05-28","ZYRX"
550,550,520,525,18780900,"2021-05-31","ZYRX"
525,530,500,505,20020900,"2021-06-02","ZYRX"
515,555,510,545,19939300,"2021-06-03","ZYRX"
550,580,535,580,20431000,"2021-06-04","ZYRX"
595,625,575,580,15543800,"2021-06-07","ZYRX"
580,605,550,605,21169700,"2021-06-08","ZYRX"
610,615,590,590,23243000,"2021-06-09","ZYRX"
595,595,575,580,23672400,"2021-06-10","ZYRX"
580,585,555,555,11105700,"2021-06-11","ZYRX"
550,565,530,560,21366300,"2021-06-14","ZYRX"
560,575,550,550,5989700,"2021-06-15","ZYRX"
550,595,540,595,27436500,"2021-06-16","ZYRX"
600,630,590,620,32387200,"2021-06-17","ZYRX"
625,680,620,630,31052600,"2021-06-18","ZYRX"
630,630,595,630,10597200,"2021-06-21","ZYRX"
630,635,610,610,28634700,"2021-06-22","ZYRX"
615,620,570,585,21433500,"2021-06-23","ZYRX"
585,615,585,615,22227900,"2021-06-24","ZYRX"
625,625,595,605,20591700,"2021-06-25","ZYRX"
610,615,580,590,10619200,"2021-06-28","ZYRX"
590,600,575,580,14738600,"2021-06-29","ZYRX"
595,595,580,580,8852900,"2021-06-30","ZYRX"
580,580,550,555,23600800,"2021-07-01","ZYRX"
555,565,550,550,10791100,"2021-07-02","ZYRX"
555,555,540,540,18842300,"2021-07-05","ZYRX"
535,560,505,505,23811400,"2021-07-06","ZYRX"
490,505,484,498,19343200,"2021-07-07","ZYRX"
494,535,492,525,21817100,"2021-07-08","ZYRX"
525,530,505,530,19558500,"2021-07-09","ZYRX"
530,555,520,535,16375100,"2021-07-12","ZYRX"
540,555,498,498,13143700,"2021-07-13","ZYRX"
498,505,484,498,12988100,"2021-07-14","ZYRX"
498,515,496,505,13650200,"2021-07-15","ZYRX"
505,530,505,525,13213500,"2021-07-16","ZYRX"
540,555,515,550,15393800,"2021-07-19","ZYRX"
555,575,550,570,9506800,"2021-07-21","ZYRX"
575,585,555,585,17852900,"2021-07-22","ZYRX"
605,730,605,730,61912100,"2021-07-23","ZYRX"
755,900,715,755,110152800,"2021-07-26","ZYRX"
760,825,730,740,40463800,"2021-07-27","ZYRX"
750,785,735,760,22995500,"2021-07-28","ZYRX"
790,850,765,850,46890500,"2021-07-29","ZYRX"
855,870,795,795,24326100,"2021-07-30","ZYRX"
750,780,740,740,3461800,"2021-08-02","ZYRX"
740,760,690,730,21637200,"2021-08-03","ZYRX"
740,770,725,735,16048500,"2021-08-04","ZYRX"
740,760,720,725,16019800,"2021-08-05","ZYRX"
725,815,725,800,32743900,"2021-08-06","ZYRX"
805,810,745,745,26663800,"2021-08-09","ZYRX"
745,745,695,695,5386100,"2021-08-10","ZYRX"
695,715,650,670,17838600,"2021-08-12","ZYRX"
640,675,640,650,8435800,"2021-08-13","ZYRX"
670,740,650,660,23263400,"2021-08-16","ZYRX"
665,680,615,615,16994500,"2021-08-18","ZYRX"
615,615,575,595,7949600,"2021-08-19","ZYRX"
595,630,585,615,10438000,"2021-08-20","ZYRX"
620,630,610,620,11705100,"2021-08-23","ZYRX"
620,635,615,620,12301800,"2021-08-24","ZYRX"
635,645,605,605,14253100,"2021-08-25","ZYRX"
605,640,590,595,14712200,"2021-08-26","ZYRX"
595,625,595,625,11749900,"2021-08-27","ZYRX"
625,635,615,620,10909000,"2021-08-30","ZYRX"
620,650,620,645,10404700,"2021-08-31","ZYRX"
650,680,640,645,16050600,"2021-09-01","ZYRX"
655,655,625,625,7592400,"2021-09-02","ZYRX"
625,635,610,615,9177500,"2021-09-03","ZYRX"
615,620,600,605,8663500,"2021-09-06","ZYRX"
610,615,600,605,7857000,"2021-09-07","ZYRX"
610,635,605,610,8741100,"2021-09-08","ZYRX"
615,625,610,615,9390300,"2021-09-09","ZYRX"
620,630,600,600,14442000,"2021-09-10","ZYRX"
610,610,580,585,8144000,"2021-09-13","ZYRX"
585,600,580,585,9023700,"2021-09-14","ZYRX"
585,595,585,585,12225300,"2021-09-15","ZYRX"
590,605,580,595,11215500,"2021-09-16","ZYRX"
595,610,595,605,10051400,"2021-09-17","ZYRX"
605,615,595,600,7070900,"2021-09-20","ZYRX"
600,600,585,590,9463800,"2021-09-21","ZYRX"
605,605,585,595,8986300,"2021-09-22","ZYRX"
595,605,595,600,8020800,"2021-09-23","ZYRX"
600,605,585,590,7936800,"2021-09-24","ZYRX"
595,600,580,580,4034600,"2021-09-27","ZYRX"
580,585,540,540,10994200,"2021-09-28","ZYRX"
540,545,525,525,11906800,"2021-09-29","ZYRX"
525,530,515,520,10686400,"2021-09-30","ZYRX"
520,530,505,510,6301300,"2021-10-01","ZYRX"
510,520,510,510,8584700,"2021-10-04","ZYRX"
510,570,510,530,14461300,"2021-10-05","ZYRX"
535,560,515,545,13068800,"2021-10-06","ZYRX"
545,555,540,545,8693000,"2021-10-07","ZYRX"
555,565,535,540,8942000,"2021-10-08","ZYRX"
545,545,535,540,9624700,"2021-10-11","ZYRX"
540,540,535,535,6558700,"2021-10-12","ZYRX"
540,600,535,595,14363200,"2021-10-13","ZYRX"
600,605,580,580,8876100,"2021-10-14","ZYRX"
585,585,550,565,12520600,"2021-10-15","ZYRX"
565,590,555,575,11188800,"2021-10-18","ZYRX"
575,585,560,585,11805500,"2021-10-19","ZYRX"
585,600,585,595,11108400,"2021-10-21","ZYRX"
600,620,585,610,21419200,"2021-10-22","ZYRX"
615,635,590,625,31115900,"2021-10-25","ZYRX"
635,680,620,630,22076700,"2021-10-26","ZYRX"
640,640,590,605,13445400,"2021-10-27","ZYRX"
605,615,595,610,11513100,"2021-10-28","ZYRX"
