No	Kode
1	ABBA
2	ACES
3	ACRO
4	AKKU
5	ARGO
6	ARTA
7	ASLC
8	AUTO
9	BABY
10	BAIK
11	BATA
12	BAUT
13	BAYU
14	BELL
15	BIKE
16	BIMA
17	BLTZ
18	BMTR
19	BOGA
20	BOLA
21	BOLT
22	BRAM
23	BUVA
24	CARS
25	CBMF
26	CINT
27	CLAY
28	CNMA
29	CNTX
30	CSAP
31	CSMI
32	DEPO
33	DFAM
34	DIGI
35	DOOH
36	DOSS
37	DRMA
38	DUCK
39	EAST
40	ECII
41	ENAK
42	ERAA
43	ERAL
44	ERTX
45	ESTA
46	ESTI
47	FAST
48	FILM
49	FITT
50	FORU
51	FUTR
52	GDYR
53	GEMA
54	GJTL
55	GLOB
56	GOLF
57	GRPH
58	GWSA
59	HDTX
60	HOME
61	HOTL
62	HRME
63	HRTA
64	IIKP
65	IMAS
66	INDR
67	INDS
68	INOV
69	IPTV
70	JGLE
71	JIHD
72	JSPT
73	KDTN
74	KICI
75	KOTA
76	KPIG
77	LIVE
78	LMPI
79	LPIN
80	LPPF
81	MABA
82	MAMI
83	MAMIP
84	MAPA
85	MAPB
86	MAPI
87	MARI
88	MASA
89	MDIA
90	MGNA
91	MICE
92	MINA
93	MKNT
94	MNCN
95	MPMX
96	MSIN
97	MSKY
98	MYTX
99	NATO
100	NETV
101	NIPS
102	NUSA
103	PANR
104	PART
105	PBRX
106	PDES
107	PGLI
108	PJAA
109	PMJS
110	PNSE
111	POLU
112	POLY
113	PRAS
114	PSKT
115	PTSP
116	PZZA
117	RAAM
118	RAFI
119	RALS
120	RICY
121	SBAT
122	SCMA
123	SCNP
124	SHID
125	SLIS
126	SMSM
127	SNLK
128	SONA
129	SOTS
130	SRIL
131	SSTM
132	SWID
133	TELE
134	TFCO
135	TMPO
136	TOOL
137	TOYS
138	TRIO
139	TRIS
140	TYRE
141	UFOE
142	UNIT
143	UNTD
144	VIVA
145	VKTR
146	WOOD
147	YELO
148	ZATA
149	ZONE
