No	Kode
1	ABDA
2	ADMF
3	AGRO
4	AGRS
5	AHAP
6	AMAG
7	AMAR
8	AMOR
9	APIC
10	ARTO
11	ASBI
12	ASDM
13	ASJT
14	ASMI
15	ASRM
16	BABP
17	BACA
18	BANK
19	BBCA
20	BBHI
21	BBKP
22	BBLD
23	BBMD
24	BBNI
25	BBRI
26	BBSI
27	BBTN
28	BBYB
29	BCAP
30	BCIC
31	BDMN
32	BEKS
33	BFIN
34	BGTG
35	BHAT
36	BINA
37	BJBR
38	BJTM
39	BKSW
40	BMAS
41	BMRI
42	BNBA
43	BNGA
44	BNII
45	BNLI
46	BPFI
47	BPII
48	BRIS
49	BSIM
50	BSWD
51	BTPN
52	BTPS
53	BVIC
54	CASA
55	CFIN
56	DEFI
57	DNAR
58	DNET
59	FUJI
60	GSMF
61	HDFA
62	INPC
63	JMAS
64	LIFE
65	LPGI
66	LPPS
67	MASB
68	MAYA
69	MCOR
70	MEGA
71	MFIN
72	MREI
73	MTWI
74	NICK
75	NISP
76	NOBU
77	OCAP
78	PADI
79	PALM
80	PANS
81	PEGE
82	PLAS
83	PNBN
84	PNBS
85	PNIN
86	PNLF
87	POLA
88	POOL
89	RELI
90	SDRA
91	SFAN
92	SMMA
93	SRTG
94	STAR
95	TIFA
96	TRIM
97	TRUS
98	TUGU
99	VICO
100	VINS
101	VRNA
102	VTNY
103	WOMF
104	YULE

