No	Kode
1	AALI
2	ADES
3	AGAR
4	AISA
5	ALTO
6	AMRT
7	ANDI
8	ANJT
9	ASHA
10	AYAM
11	BEEF
12	BEER
13	BISI
14	BOBA
15	BTEK
16	BUAH
17	BUDI
18	BWPT
19	CAMP
20	CBUT
21	CEKA
22	CLEO
23	CMRY
24	COCO
25	CPIN
26	CPRO
27	CRAB
28	CSRA
29	DAYA
30	DEWI
31	DLTA
32	DMND
33	DPUM
34	DSFI
35	DSNG
36	ENZO
37	EPMT
38	FAPA
39	FISH
40	FOOD
41	GGRM
42	GOLL
43	GOOD
44	GULA
45	GUNA
46	GZCO
47	HERO
48	HMSP
49	HOKI
50	ICBP
51	IKAN
52	INDF
53	IPPE
54	ISEA
55	ITIC
56	JARR
57	JAWA
58	JPFA
59	KEJU
60	KINO
61	KMDS
62	KPAS
63	LAPD
64	LSIP
65	MAGP
66	MAIN
67	MAXI
68	MBTO
69	MGRO
70	MIDI
71	MKTR
72	MLBI
73	MLPL
74	MPPA
75	MRAT
76	MSJA
77	MYOR
78	NASI
79	NEST
80	NSSS
81	OILS
82	PCAR
83	PGUN
84	PMMP
85	PNGO
86	PSDN
87	PSGO
88	PTPS
89	RANC
90	ROTI
91	SDPC
92	SGRO
93	SIMP
94	SIPD
95	SKBM
96	SKLT
97	SMAR
98	SSMS
99	STAA
100	STRK
101	STTP
102	TAPG
103	TAYS
104	TBLA
105	TCID
106	TGKA
107	TGUK
108	TLDN
109	TRGU
110	UCID
111	ULTJ
112	UNSP
113	UNVR
114	VICI
115	WAPO
116	WICO
117	WIIM
118	WINE
119	WMPP
120	WMUU

